mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
914.000	0.521	914.000	3512091259.308	1163.059	333.000	1496.059	0.223	-0.876	0.635	2.044	-0.831
915.000	1.118	915.000	3512091260.808	1332.667	266.598	1599.265	0.167	-0.876	0.635	2.044	-0.831
916.000	1.118	916.000	3512091262.309	1573.804	173.752	1747.556	0.099	-0.876	0.635	0.393	-0.831
917.000	0.629	917.000	3512091263.820	1891.353	575.227	2466.580	0.233	-0.876	0.635	0.393	-0.831
918.000	0.629	918.000	3512091265.309	2139.239	495.209	2634.447	0.188	-0.876	0.635	0.393	0.249
919.000	0.337	919.000	3512091266.810	2156.688	632.257	2788.944	0.227	-0.876	0.635	0.393	0.249
920.000	0.337	920.000	3512091268.321	2576.179	414.598	2990.777	0.139	1.008	0.635	0.393	0.249
921.000	1.519	921.000	3512091269.810	995.760	470.640	1466.400	0.321	1.008	0.635	0.393	0.249
922.000	1.519	922.000	3512091271.320	1344.522	-22.496	1322.026	-0.017	1.008	-0.598	0.393	0.249
923.000	0.954	923.000	3512091272.809	1456.188	312.083	1768.271	0.176	1.008	-0.598	0.393	0.249
924.000	0.954	924.000	3512091274.310	1515.951	345.136	1861.087	0.185	1.008	-0.598	-0.402	0.249
925.000	1.267	925.000	3512091275.810	1865.823	623.969	2489.792	0.251	1.008	-0.598	-0.402	0.249
926.000	1.267	926.000	3512091277.309	2185.370	485.441	2670.811	0.182	1.008	-0.598	-0.402	-0.784
927.000	1.967	927.000	3512091278.810	2516.506	546.318	3062.823	0.178	1.008	-0.598	-0.402	-0.784
928.000	1.967	928.000	3512091280.309	2336.286	448.342	2784.628	0.161	-3.007	-0.598	-0.402	-0.784
929.000	-0.985	929.000	3512091281.808	1410.723	129.648	1540.371	0.084	-3.007	-0.598	-0.402	-0.784
930.000	-0.985	930.000	3512091283.320	1150.716	440.942	1591.658	0.277	-3.007	0.080	-0.402	-0.784
931.000	-0.753	931.000	3512091284.809	1542.546	272.715	1815.261	0.150	-3.007	0.080	-0.402	-0.784
932.000	-0.753	932.000	3512091286.310	1451.926	359.542	1811.467	0.198	-3.007	0.080	-0.613	-0.784
933.000	-0.180	933.000	3512091287.820	2235.054	350.859	2585.913	0.136	-3.007	0.080	-0.613	-0.784
934.000	-0.180	934.000	3512091289.311	2315.862	354.510	2670.372	0.133	-3.007	0.080	-0.613	-0.154
935.000	-0.112	935.000	3512091290.811	1876.479	905.761	2782.240	0.326	-3.007	0.080	-0.613	-0.154
