Label:, CH1: Power Spectrum
DateTime:, Wed Sep 24 20:08:19 2014
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 20000.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Log
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms, PSD
0.00000000E+00, -5.51072631E+01
3.12500000E+00, -6.19304274E+01
6.25000000E+00, -6.58901306E+01
9.37500000E+00, -7.45889509E+01
1.25000000E+01, -7.36949221E+01
1.56250000E+01, -8.19881393E+01
1.87500000E+01, -7.82531105E+01
2.18750000E+01, -6.90804974E+01
2.50000000E+01, -6.59480467E+01
2.81250000E+01, -6.88065987E+01
3.12500000E+01, -7.27869842E+01
3.43750000E+01, -7.30837968E+01
3.75000000E+01, -7.19826457E+01
4.06250000E+01, -7.08841623E+01
4.37500000E+01, -7.08159984E+01
4.68750000E+01, -7.26712468E+01
5.00000000E+01, -6.60627490E+01
5.31250000E+01, -7.10831952E+01
5.62500000E+01, -6.93279732E+01
5.93750000E+01, -6.85242796E+01
6.25000000E+01, -6.81680307E+01
6.56250000E+01, -6.99888602E+01
6.87500000E+01, -7.38715083E+01
7.18750000E+01, -7.34054006E+01
7.50000000E+01, -7.07778880E+01
7.81250000E+01, -7.00421425E+01
8.12500000E+01, -7.27583650E+01
8.43750000E+01, -6.77956604E+01
8.75000000E+01, -6.88763816E+01
9.06250000E+01, -7.35110902E+01
9.37500000E+01, -7.18439471E+01
9.68750000E+01, -7.17825288E+01
1.00000000E+02, -6.31413574E+01
1.03125000E+02, -6.69281614E+01
1.06250000E+02, -7.42173090E+01
1.09375000E+02, -6.99122059E+01
1.12500000E+02, -7.01882717E+01
1.15625000E+02, -6.89761600E+01
1.18750000E+02, -7.21194693E+01
1.21875000E+02, -7.25913034E+01
1.25000000E+02, -7.07121756E+01
1.28125000E+02, -7.45491678E+01
1.31250000E+02, -8.24484501E+01
1.34375000E+02, -7.42279649E+01
1.37500000E+02, -7.62674705E+01
1.40625000E+02, -7.84821319E+01
1.43750000E+02, -6.70624810E+01
1.46875000E+02, -6.38423291E+01
1.50000000E+02, -6.34783622E+01
1.53125000E+02, -6.49555099E+01
1.56250000E+02, -6.81685744E+01
1.59375000E+02, -6.99843284E+01
1.62500000E+02, -6.87253019E+01
1.65625000E+02, -7.09281017E+01
1.68750000E+02, -6.94624234E+01
1.71875000E+02, -7.14446658E+01
1.75000000E+02, -7.54249275E+01
1.78125000E+02, -7.80072251E+01
1.81250000E+02, -8.14474843E+01
1.84375000E+02, -7.20186636E+01
1.87500000E+02, -6.92430097E+01
1.90625000E+02, -6.98010795E+01
1.93750000E+02, -6.97884868E+01
1.96875000E+02, -7.08865263E+01
2.00000000E+02, -6.68239817E+01
2.03125000E+02, -7.12926204E+01
2.06250000E+02, -7.00142166E+01
2.09375000E+02, -8.46533522E+01
2.12500000E+02, -6.73896379E+01
2.15625000E+02, -6.60623811E+01
2.18750000E+02, -7.02439814E+01
2.21875000E+02, -7.15215362E+01
2.25000000E+02, -6.80030082E+01
2.28125000E+02, -7.40019173E+01
2.31250000E+02, -8.40166109E+01
2.34375000E+02, -7.90043661E+01
2.37500000E+02, -7.59972970E+01
2.40625000E+02, -8.04398478E+01
2.43750000E+02, -6.91284830E+01
2.46875000E+02, -7.26177333E+01
2.50000000E+02, -7.00622108E+01
2.53125000E+02, -7.28585717E+01
2.56250000E+02, -6.50481743E+01
2.59375000E+02, -7.19406242E+01
2.62500000E+02, -7.79275817E+01
2.65625000E+02, -7.38015510E+01
2.68750000E+02, -7.53113620E+01
2.71875000E+02, -8.72749049E+01
2.75000000E+02, -8.29831052E+01
2.78125000E+02, -7.85566513E+01
2.81250000E+02, -7.56488001E+01
2.84375000E+02, -6.66326998E+01
2.87500000E+02, -7.52143053E+01
2.90625000E+02, -7.83178634E+01
2.93750000E+02, -7.54366245E+01
2.96875000E+02, -6.82776665E+01
