F,G,P
5.00000000000e00,4.49667785492e05,1.97589433193e00
5.37620000000e00,3.69628394567e05,-9.51696300507e00
5.78070000000e00,3.76322166650e05,-3.60495734215e00
6.21560000000e00,3.84849146743e05,-8.03584384918e00
6.68330000000e00,4.34360254358e05,8.48656749725e00
7.18610000000e00,3.30096056923e05,-5.93168067932e00
7.72680000000e00,4.23568522686e05,-6.61881875992e00
8.30820000000e00,4.14270896451e05,-1.04339962006e01
8.93330000000e00,4.15042615285e05,-1.36375331879e01
9.60540000000e00,3.71710162785e05,-6.13660144806e00
1.03281000000e01,3.97046115125e05,-7.91606998444e00
1.11052000000e01,3.54588817997e05,-7.53045415878e00
1.19408000000e01,3.70671741664e05,4.41475105286e00
1.28392000000e01,4.54913040782e05,-2.04420000315e-01
1.38052000000e01,4.44877966432e05,1.58415613174e01
1.48439000000e01,5.00485768754e05,5.46912527084e00
1.59607000000e01,5.12565555699e05,5.94310104847e-01
1.71616000000e01,3.79455089163e05,-1.59065656662e01
1.84528000000e01,3.48653052100e05,-4.61467504501e00
1.98412000000e01,4.31548841434e05,-5.70965290070e00
2.13340000000e01,4.46341551510e05,-6.91433525085e00
2.29392000000e01,4.46496357176e05,5.47257041931e00
2.46651000000e01,4.18356480807e05,-6.39990234375e00
2.65209000000e01,4.17244273863e05,-8.26758861542e00
2.85163000000e01,3.27470351603e05,-8.46715164185e00
3.06619000000e01,4.37053054565e05,-8.60404586792e00
3.29689000000e01,4.12036160404e05,3.45176130533e-01
3.54494000000e01,4.16113751336e05,3.87328922749e-01
3.81166000000e01,3.96701393468e05,2.96761298180e00
4.09845000000e01,3.54545630368e05,-8.42540836334e00
4.40681000000e01,4.42177288535e05,-1.13038015366e01
4.73838000000e01,3.00116594626e05,9.53655052185e00
5.09489000000e01,4.42570656176e05,-2.56735820770e01
5.47823000000e01,3.47538387212e05,-1.01899938583e01
5.89040000000e01,4.01792668967e05,-1.48296022415e01
6.33359000000e01,4.39824451697e05,-5.92328214645e00
6.81013000000e01,3.40596403274e05,-2.13049945831e01
7.32252000000e01,3.84503482108e05,-1.13714599609e01
7.87346000000e01,4.22524793220e05,-1.86456203461e01
8.46586000000e01,3.68257645919e05,-1.56392717361e01
9.10282000000e01,3.56667903420e05,-2.04416580200e01
9.78771000000e01,3.91272180756e05,-2.98666572571e01
1.05241300000e02,3.75410411140e05,-2.00841922760e01
1.13159600000e02,3.56527573890e05,-2.58174705505e01
1.21673700000e02,3.83339373410e05,-3.29064483643e01
1.30828300000e02,3.24512946722e05,-2.88209247589e01
1.40671800000e02,3.35819473251e05,-3.57237396240e01
1.51255800000e02,3.24727487906e05,-3.35843162537e01
1.62636200000e02,3.33327947124e05,-3.21265144348e01
1.74872800000e02,3.17998934071e05,-3.90513267517e01
1.88030200000e02,3.00851150216e05,-3.81904907227e01
2.02177400000e02,3.05849132964e05,-3.99621849060e01
2.17389100000e02,3.02108795881e05,-4.74233436584e01
