Label:, CH1: Power Spectrum
DateTime:, Wed Sep 24 20:11:53 2014
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 100000.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Log
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms, PSD
0.00000000E+00, -6.15449553E+01
1.56250000E+01, -7.68794868E+01
3.12500000E+01, -8.71475216E+01
4.68750000E+01, -7.87494141E+01
6.25000000E+01, -7.92017902E+01
7.81250000E+01, -7.70412361E+01
9.37500000E+01, -6.76498398E+01
1.09375000E+02, -6.79124988E+01
1.25000000E+02, -7.25164916E+01
1.40625000E+02, -6.80690904E+01
1.56250000E+02, -6.59000423E+01
1.71875000E+02, -6.65699291E+01
1.87500000E+02, -7.21020517E+01
2.03125000E+02, -7.24503247E+01
2.18750000E+02, -8.03741774E+01
2.34375000E+02, -7.29718697E+01
2.50000000E+02, -6.71702123E+01
2.65625000E+02, -7.25827417E+01
2.81250000E+02, -7.36609136E+01
2.96875000E+02, -7.89205629E+01
3.12500000E+02, -7.27772040E+01
3.28125000E+02, -8.47044602E+01
3.43750000E+02, -7.62698428E+01
3.59375000E+02, -7.41739180E+01
3.75000000E+02, -7.44733110E+01
3.90625000E+02, -7.54867366E+01
4.06250000E+02, -7.42586971E+01
4.21875000E+02, -8.41200090E+01
4.37500000E+02, -8.68807424E+01
4.53125000E+02, -8.76643443E+01
4.68750000E+02, -7.48155841E+01
4.84375000E+02, -8.48274815E+01
5.00000000E+02, -7.03916354E+01
5.15625000E+02, -7.20930576E+01
5.31250000E+02, -7.72709071E+01
5.46875000E+02, -8.11697076E+01
5.62500000E+02, -7.87820246E+01
5.78125000E+02, -7.30623819E+01
5.93750000E+02, -7.20825320E+01
6.09375000E+02, -7.26739077E+01
6.25000000E+02, -7.12175383E+01
6.40625000E+02, -7.21670518E+01
6.56250000E+02, -8.48150745E+01
6.71875000E+02, -7.41050724E+01
6.87500000E+02, -6.97455575E+01
7.03125000E+02, -8.86880105E+01
7.18750000E+02, -6.18372524E+01
7.34375000E+02, -6.14585888E+01
7.50000000E+02, -7.29664283E+01
7.65625000E+02, -6.73571923E+01
7.81250000E+02, -6.95859688E+01
7.96875000E+02, -7.36672959E+01
8.12500000E+02, -7.45721047E+01
8.28125000E+02, -7.18207864E+01
8.43750000E+02, -7.27291439E+01
8.59375000E+02, -7.21424730E+01
8.75000000E+02, -7.51518225E+01
8.90625000E+02, -8.46074922E+01
9.06250000E+02, -7.59445689E+01
9.21875000E+02, -7.30859543E+01
9.37500000E+02, -7.79759655E+01
9.53125000E+02, -8.22113777E+01
9.68750000E+02, -8.17188720E+01
9.84375000E+02, -7.75370857E+01
1.00000000E+03, -7.18583896E+01
1.01562500E+03, -7.37868718E+01
1.03125000E+03, -6.79083498E+01
1.04687500E+03, -6.76799648E+01
1.06250000E+03, -7.98462949E+01
1.07812500E+03, -7.51867846E+01
1.09375000E+03, -6.97591636E+01
1.10937500E+03, -6.98702622E+01
1.12500000E+03, -7.20609903E+01
1.14062500E+03, -8.25276101E+01
1.15625000E+03, -7.95998179E+01
1.17187500E+03, -7.80400215E+01
1.18750000E+03, -7.94186828E+01
1.20312500E+03, -8.26049185E+01
1.21875000E+03, -7.79407894E+01
1.23437500E+03, -8.88125485E+01
1.25000000E+03, -7.78162015E+01
1.26562500E+03, -8.13853805E+01
1.28125000E+03, -7.85552530E+01
1.29687500E+03, -8.15774899E+01
1.31250000E+03, -8.31985279E+01
1.32812500E+03, -7.67141864E+01
1.34375000E+03, -7.99410105E+01
1.35937500E+03, -8.12930978E+01
1.37500000E+03, -7.98463940E+01
1.39062500E+03, -8.46721697E+01
1.40625000E+03, -8.91039931E+01
1.42187500E+03, -1.07265992E+02
1.43750000E+03, -8.55874703E+01
1.45312500E+03, -8.94975013E+01
1.46875000E+03, -8.02305178E+01
1.48437500E+03, -8.45831606E+01
1.50000000E+03, -8.03974809E+01
1.51562500E+03, -8.87773849E+01
1.53125000E+03, -9.99140378E+01
1.54687500E+03, -8.63772280E+01
1.56250000E+03, -7.61309304E+01
1.57812500E+03, -7.21389301E+01
1.59375000E+03, -7.40420570E+01
1.60937500E+03, -7.76084901E+01
1.62500000E+03, -8.21689797E+01
1.64062500E+03, -8.08636618E+01
1.65625000E+03, -7.89266298E+01
1.67187500E+03, -8.00857062E+01
1.68750000E+03, -8.21621598E+01
1.70312500E+03, -8.22877355E+01
1.71875000E+03, -7.74115552E+01
1.73437500E+03, -7.85471151E+01
1.75000000E+03, -7.97888620E+01
1.76562500E+03, -8.23540745E+01
1.78125000E+03, -7.41083732E+01
1.79687500E+03, -8.71997552E+01
1.81250000E+03, -7.89076852E+01
1.82812500E+03, -7.82467787E+01
1.84375000E+03, -7.66720814E+01
1.85937500E+03, -1.00991128E+02
1.87500000E+03, -8.44346494E+01
1.89062500E+03, -8.51163132E+01
1.90625000E+03, -8.16882124E+01
1.92187500E+03, -9.41250878E+01
1.93750000E+03, -8.70952168E+01
1.95312500E+03, -8.67872364E+01
1.96875000E+03, -8.50215155E+01
1.98437500E+03, -7.79020027E+01
2.00000000E+03, -7.71963401E+01
2.01562500E+03, -7.28289975E+01
2.03125000E+03, -8.37306148E+01
2.04687500E+03, -7.57361571E+01
2.06250000E+03, -7.44562686E+01
2.07812500E+03, -7.74574198E+01
2.09375000E+03, -7.30474519E+01
2.10937500E+03, -7.54418193E+01
2.12500000E+03, -8.20016714E+01
2.14062500E+03, -8.15049336E+01
2.15625000E+03, -7.71128531E+01
2.17187500E+03, -8.04213895E+01
2.18750000E+03, -8.83076514E+01
2.20312500E+03, -7.66556079E+01
2.21875000E+03, -7.37328348E+01
2.23437500E+03, -7.41590458E+01
2.25000000E+03, -7.63388191E+01
2.26562500E+03, -8.13071139E+01
2.28125000E+03, -7.83466185E+01
2.29687500E+03, -7.45190936E+01
2.31250000E+03, -7.79552630E+01
2.32812500E+03, -8.68633437E+01
2.34375000E+03, -8.41225689E+01
2.35937500E+03, -8.75216316E+01
2.37500000E+03, -8.28136967E+01
2.39062500E+03, -8.19082969E+01
2.40625000E+03, -8.94814689E+01
2.42187500E+03, -8.47133138E+01
2.43750000E+03, -8.93134590E+01
2.45312500E+03, -8.34328781E+01
2.46875000E+03, -7.92456689E+01
2.48437500E+03, -7.61092649E+01
2.50000000E+03, -7.88440224E+01
2.51562500E+03, -7.80952150E+01
2.53125000E+03, -7.66854430E+01
2.54687500E+03, -7.85504433E+01
2.56250000E+03, -7.80317387E+01
2.57812500E+03, -7.97929881E+01
2.59375000E+03, -8.21434076E+01
2.60937500E+03, -8.03232894E+01
2.62500000E+03, -7.59955357E+01
2.64062500E+03, -7.86063345E+01
2.65625000E+03, -8.05825548E+01
2.67187500E+03, -9.01309212E+01
2.68750000E+03, -8.67712103E+01
2.70312500E+03, -7.97092547E+01
2.71875000E+03, -9.27177166E+01
2.73437500E+03, -7.61283066E+01
2.75000000E+03, -7.42998696E+01
2.76562500E+03, -7.90232110E+01
2.78125000E+03, -8.32875335E+01
2.79687500E+03, -7.67721415E+01
2.81250000E+03, -7.99971626E+01
2.82812500E+03, -7.30689953E+01
2.84375000E+03, -7.92090652E+01
2.85937500E+03, -7.83186597E+01
2.87500000E+03, -7.65419553E+01
2.89062500E+03, -8.56166430E+01
2.90625000E+03, -8.22658958E+01
2.92187500E+03, -8.12091054E+01
2.93750000E+03, -7.89430133E+01
2.95312500E+03, -8.07323573E+01
2.96875000E+03, -8.38562242E+01
2.98437500E+03, -8.08702971E+01
3.00000000E+03, -7.91196990E+01
3.01562500E+03, -7.62528906E+01
3.03125000E+03, -7.66660001E+01
3.04687500E+03, -9.31922992E+01
3.06250000E+03, -7.93317532E+01
3.07812500E+03, -7.69920736E+01
3.09375000E+03, -7.43797038E+01
3.10937500E+03, -7.44261328E+01
3.12500000E+03, -7.74278997E+01
3.14062500E+03, -7.63734413E+01
3.15625000E+03, -7.76119786E+01
3.17187500E+03, -8.26497086E+01
3.18750000E+03, -8.17454811E+01
3.20312500E+03, -8.41871667E+01
3.21875000E+03, -8.94888584E+01
3.23437500E+03, -9.42955639E+01
3.25000000E+03, -8.00626302E+01
3.26562500E+03, -7.94034374E+01
3.28125000E+03, -8.94785470E+01
3.29687500E+03, -8.61477131E+01
3.31250000E+03, -8.27678317E+01
3.32812500E+03, -8.01962651E+01
3.34375000E+03, -8.11152166E+01
3.35937500E+03, -8.14193051E+01
3.37500000E+03, -8.24147956E+01
3.39062500E+03, -8.02722896E+01
3.40625000E+03, -8.13914052E+01
3.42187500E+03, -8.27092726E+01
3.43750000E+03, -8.24491618E+01
3.45312500E+03, -8.16235228E+01
3.46875000E+03, -8.30770858E+01
3.48437500E+03, -9.50339526E+01
3.50000000E+03, -7.65913560E+01
3.51562500E+03, -7.60340899E+01
3.53125000E+03, -8.17573379E+01
3.54687500E+03, -7.74655157E+01
3.56250000E+03, -7.87157931E+01
3.57812500E+03, -8.72622541E+01
3.59375000E+03, -8.13346659E+01
3.60937500E+03, -7.72517871E+01
3.62500000E+03, -7.74333740E+01
3.64062500E+03, -8.80424149E+01
3.65625000E+03, -7.90534749E+01
3.67187500E+03, -8.13453730E+01
3.68750000E+03, -8.57093550E+01
3.70312500E+03, -7.82830663E+01
3.71875000E+03, -7.65414855E+01
3.73437500E+03, -7.80385388E+01
3.75000000E+03, -7.39494503E+01
3.76562500E+03, -7.71794379E+01
3.78125000E+03, -8.16651635E+01
3.79687500E+03, -8.19327539E+01
3.81250000E+03, -8.59668259E+01
3.82812500E+03, -7.77128347E+01
3.84375000E+03, -7.58252444E+01
3.85937500E+03, -7.79848866E+01
3.87500000E+03, -7.11516315E+01
3.89062500E+03, -7.71778628E+01
3.90625000E+03, -8.26261016E+01
3.92187500E+03, -9.13973347E+01
3.93750000E+03, -8.10377683E+01
3.95312500E+03, -7.80298988E+01
3.96875000E+03, -7.95253577E+01
3.98437500E+03, -8.20993866E+01
4.00000000E+03, -8.66586628E+01
4.01562500E+03, -8.34017734E+01
4.03125000E+03, -8.38231242E+01
4.04687500E+03, -8.55174246E+01
4.06250000E+03, -8.46164159E+01
4.07812500E+03, -7.72964631E+01
4.09375000E+03, -7.85082804E+01
4.10937500E+03, -8.70481352E+01
4.12500000E+03, -8.25837661E+01
4.14062500E+03, -8.72070759E+01
4.15625000E+03, -8.04878491E+01
4.17187500E+03, -7.82989567E+01
4.18750000E+03, -7.59964365E+01
4.20312500E+03, -7.65729149E+01
4.21875000E+03, -8.23265159E+01
4.23437500E+03, -8.60107733E+01
4.25000000E+03, -8.52611832E+01
4.26562500E+03, -8.29433770E+01
4.28125000E+03, -8.48667606E+01
4.29687500E+03, -8.51726382E+01
4.31250000E+03, -8.69601616E+01
4.32812500E+03, -7.84896276E+01
4.34375000E+03, -7.95213521E+01
4.35937500E+03, -7.49240249E+01
4.37500000E+03, -7.92756999E+01
4.39062500E+03, -7.89869957E+01
4.40625000E+03, -7.73677588E+01
4.42187500E+03, -8.91899080E+01
4.43750000E+03, -7.60700066E+01
4.45312500E+03, -7.70189504E+01
4.46875000E+03, -8.81109874E+01
4.48437500E+03, -8.45860359E+01
4.50000000E+03, -8.65131524E+01
4.51562500E+03, -9.15544897E+01
4.53125000E+03, -8.71891898E+01
4.54687500E+03, -8.91570945E+01
4.56250000E+03, -9.84612275E+01
4.57812500E+03, -7.92445345E+01
4.59375000E+03, -7.83670817E+01
4.60937500E+03, -8.14677808E+01
4.62500000E+03, -7.64077186E+01
4.64062500E+03, -7.54515959E+01
4.65625000E+03, -8.02048070E+01
4.67187500E+03, -9.12043593E+01
4.68750000E+03, -8.82189584E+01
4.70312500E+03, -8.19097081E+01
4.71875000E+03, -7.85420957E+01
4.73437500E+03, -8.69074696E+01
4.75000000E+03, -7.59233449E+01
4.76562500E+03, -7.35339842E+01
4.78125000E+03, -7.75166212E+01
4.79687500E+03, -8.73059844E+01
4.81250000E+03, -8.41423967E+01
4.82812500E+03, -8.61558204E+01
4.84375000E+03, -8.90523444E+01
4.85937500E+03, -8.15343265E+01
4.87500000E+03, -7.93616960E+01
4.89062500E+03, -8.32849887E+01
4.90625000E+03, -8.52767109E+01
4.92187500E+03, -8.44663481E+01
4.93750000E+03, -8.37325010E+01
4.95312500E+03, -8.45531832E+01
4.96875000E+03, -8.01408631E+01
4.98437500E+03, -8.17647351E+01
5.00000000E+03, -8.97177484E+01
5.01562500E+03, -8.46494719E+01
