F,G,P
5.00000000000e00,3.72895704900e00,-1.78361083984e02
5.37620000000e00,3.82947327654e00,-1.77883682251e02
5.78070000000e00,3.88298497447e00,-1.78522369385e02
6.21560000000e00,3.88433464287e00,-1.78373382568e02
6.68330000000e00,3.88354763655e00,-1.78628311157e02
7.18610000000e00,3.86436417580e00,-1.78692260742e02
7.72680000000e00,3.88163956733e00,-1.78836227417e02
8.30820000000e00,3.88113191727e00,-1.78926116943e02
8.93330000000e00,3.86432787430e00,-1.79041427612e02
9.60540000000e00,3.87411662962e00,-1.78928482056e02
1.03281000000e01,3.88068627526e00,-1.79160263062e02
1.11052000000e01,3.88253918475e00,-1.79186492920e02
1.19408000000e01,3.88128335665e00,-1.79176742554e02
1.28392000000e01,3.89388532209e00,-1.79243240356e02
1.38052000000e01,3.88663165535e00,-1.79515502930e02
1.48439000000e01,3.88094473008e00,-1.79395980835e02
1.59607000000e01,3.88243671989e00,-1.79472778320e02
1.71616000000e01,3.87426622217e00,-1.79462615967e02
1.84528000000e01,3.87968294356e00,-1.79402709961e02
1.98412000000e01,3.89152871787e00,-1.79577758789e02
2.13340000000e01,3.88488938283e00,-1.79558670044e02
2.29392000000e01,3.88092800177e00,-1.79583526611e02
2.46651000000e01,3.88428259371e00,-1.79644561768e02
2.65209000000e01,3.86771023234e00,-1.79628723145e02
2.85163000000e01,3.88102601585e00,-1.79678985596e02
3.06619000000e01,3.87735891502e00,-1.79676040649e02
3.29689000000e01,3.88264276637e00,-1.79804489136e02
3.54494000000e01,3.88148686625e00,-1.79750167847e02
3.81166000000e01,3.87996184897e00,-1.79782684326e02
4.09845000000e01,3.87899372268e00,-1.79709671021e02
4.40681000000e01,3.88018326060e00,-1.79821701050e02
4.73838000000e01,3.88262038021e00,-1.79809616089e02
5.09489000000e01,3.88275097895e00,-1.79714553833e02
5.47823000000e01,3.88233267075e00,-1.79797317505e02
5.89040000000e01,3.88882467719e00,-1.79808105469e02
6.33359000000e01,3.88487494812e00,-1.79873275757e02
6.81013000000e01,3.88334102053e00,-1.79945236206e02
7.32252000000e01,3.88271257951e00,-1.79891128540e02
7.87346000000e01,3.88034074190e00,-1.79915313721e02
8.46586000000e01,3.88278724662e00,-1.79887283325e02
9.10282000000e01,3.88093785454e00,-1.79920806885e02
9.78771000000e01,3.87938558166e00,-1.79904556274e02
1.05241300000e02,3.88208218655e00,-1.79935974121e02
1.13159600000e02,3.88111831091e00,-1.79949905396e02
