Label:, CH1: Power Spectrum
DateTime:, Wed Sep 24 20:11:35 2014
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 100000.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -20.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Log
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms, PSD
0.00000000E+00, -4.92799992E+01
1.56250000E+01, -6.28367770E+01
3.12500000E+01, -7.45135938E+01
4.68750000E+01, -7.17513843E+01
6.25000000E+01, -7.45234321E+01
7.81250000E+01, -8.37228357E+01
9.37500000E+01, -7.24415055E+01
1.09375000E+02, -7.32603916E+01
1.25000000E+02, -7.91287200E+01
1.40625000E+02, -7.17181971E+01
1.56250000E+02, -6.88642264E+01
1.71875000E+02, -7.70326320E+01
1.87500000E+02, -7.76160752E+01
2.03125000E+02, -7.38699329E+01
2.18750000E+02, -8.09361140E+01
2.34375000E+02, -7.71023081E+01
2.50000000E+02, -6.98845731E+01
2.65625000E+02, -7.56269632E+01
2.81250000E+02, -8.43879796E+01
2.96875000E+02, -7.65444525E+01
3.12500000E+02, -8.24627278E+01
3.28125000E+02, -7.81058121E+01
3.43750000E+02, -7.22295781E+01
3.59375000E+02, -7.63072849E+01
3.75000000E+02, -8.53489345E+01
3.90625000E+02, -7.88549367E+01
4.06250000E+02, -7.82520134E+01
4.21875000E+02, -8.79922947E+01
4.37500000E+02, -8.20724992E+01
4.53125000E+02, -7.92741468E+01
4.68750000E+02, -9.03034523E+01
4.84375000E+02, -8.26595464E+01
5.00000000E+02, -8.00433759E+01
5.15625000E+02, -8.51041762E+01
5.31250000E+02, -9.12187923E+01
5.46875000E+02, -8.81412225E+01
5.62500000E+02, -8.33927183E+01
5.78125000E+02, -8.93544415E+01
5.93750000E+02, -7.98639701E+01
6.09375000E+02, -7.64802296E+01
6.25000000E+02, -7.95030161E+01
6.40625000E+02, -8.18276522E+01
6.56250000E+02, -8.03751884E+01
6.71875000E+02, -9.03412816E+01
6.87500000E+02, -8.06531903E+01
7.03125000E+02, -7.62755983E+01
7.18750000E+02, -7.95105722E+01
7.34375000E+02, -8.48276768E+01
7.50000000E+02, -7.73595921E+01
7.65625000E+02, -8.12554157E+01
7.81250000E+02, -8.36017820E+01
7.96875000E+02, -7.84517232E+01
8.12500000E+02, -7.94506357E+01
8.28125000E+02, -8.91254877E+01
8.43750000E+02, -7.84820353E+01
8.59375000E+02, -7.81851671E+01
8.75000000E+02, -8.11968516E+01
8.90625000E+02, -9.47130599E+01
9.06250000E+02, -8.58207800E+01
9.21875000E+02, -7.87654640E+01
9.37500000E+02, -8.01051970E+01
9.53125000E+02, -8.84463541E+01
9.68750000E+02, -8.99742971E+01
9.84375000E+02, -8.54893271E+01
1.00000000E+03, -8.42612461E+01
1.01562500E+03, -7.19912685E+01
1.03125000E+03, -6.92190701E+01
1.04687500E+03, -6.82316138E+01
1.06250000E+03, -7.55283866E+01
1.07812500E+03, -7.63738408E+01
1.09375000E+03, -7.76968900E+01
1.10937500E+03, -7.13760939E+01
1.12500000E+03, -7.66644317E+01
1.14062500E+03, -9.47431413E+01
1.15625000E+03, -8.06973480E+01
1.17187500E+03, -8.11418755E+01
1.18750000E+03, -8.80940718E+01
1.20312500E+03, -8.40226885E+01
1.21875000E+03, -8.55949761E+01
1.23437500E+03, -9.26495493E+01
1.25000000E+03, -8.60546394E+01
1.26562500E+03, -8.57563422E+01
1.28125000E+03, -8.51868587E+01
1.29687500E+03, -8.29925267E+01
1.31250000E+03, -9.27376188E+01
1.32812500E+03, -8.44424240E+01
1.34375000E+03, -8.26743688E+01
1.35937500E+03, -8.30770842E+01
1.37500000E+03, -9.83391051E+01
1.39062500E+03, -8.71909912E+01
1.40625000E+03, -8.26030058E+01
1.42187500E+03, -8.41219691E+01
1.43750000E+03, -8.27849471E+01
1.45312500E+03, -8.24292048E+01
1.46875000E+03, -8.98263545E+01
1.48437500E+03, -8.92803618E+01
1.50000000E+03, -8.28204155E+01
1.51562500E+03, -8.63176649E+01
1.53125000E+03, -8.48238997E+01
1.54687500E+03, -8.85339437E+01
1.56250000E+03, -8.67203278E+01
1.57812500E+03, -8.44320867E+01
1.59375000E+03, -8.93994041E+01
1.60937500E+03, -8.24797323E+01
1.62500000E+03, -8.16730504E+01
1.64062500E+03, -7.34052615E+01
1.65625000E+03, -7.17269238E+01
1.67187500E+03, -8.00950979E+01
1.68750000E+03, -9.40468694E+01
1.70312500E+03, -8.85449248E+01
1.71875000E+03, -8.61779365E+01
1.73437500E+03, -8.24549694E+01
1.75000000E+03, -8.20225298E+01
1.76562500E+03, -7.53634505E+01
1.78125000E+03, -7.57363166E+01
1.79687500E+03, -8.02285606E+01
1.81250000E+03, -7.98233275E+01
1.82812500E+03, -8.10907841E+01
1.84375000E+03, -7.27309352E+01
1.85937500E+03, -7.20040062E+01
1.87500000E+03, -7.84269303E+01
1.89062500E+03, -8.42915833E+01
1.90625000E+03, -7.83748367E+01
1.92187500E+03, -7.58566450E+01
1.93750000E+03, -8.09258274E+01
1.95312500E+03, -8.12040234E+01
1.96875000E+03, -8.57148304E+01
1.98437500E+03, -8.84035740E+01
2.00000000E+03, -1.01787787E+02
2.01562500E+03, -9.16366973E+01
2.03125000E+03, -8.19264770E+01
2.04687500E+03, -7.64458250E+01
2.06250000E+03, -7.74672264E+01
2.07812500E+03, -8.38697081E+01
2.09375000E+03, -8.67880966E+01
2.10937500E+03, -9.26234989E+01
2.12500000E+03, -8.92673655E+01
2.14062500E+03, -8.57312798E+01
2.15625000E+03, -9.62444937E+01
2.17187500E+03, -9.02840206E+01
2.18750000E+03, -9.08354725E+01
2.20312500E+03, -9.31166535E+01
2.21875000E+03, -9.04695565E+01
2.23437500E+03, -1.00032107E+02
2.25000000E+03, -8.78213405E+01
2.26562500E+03, -9.11377762E+01
2.28125000E+03, -9.45492617E+01
2.29687500E+03, -9.35019264E+01
2.31250000E+03, -9.29784805E+01
2.32812500E+03, -8.80949833E+01
2.34375000E+03, -8.58073986E+01
2.35937500E+03, -9.41855457E+01
2.37500000E+03, -9.02052385E+01
2.39062500E+03, -9.55166630E+01
2.40625000E+03, -9.58293708E+01
2.42187500E+03, -8.99452485E+01
2.43750000E+03, -8.84959304E+01
2.45312500E+03, -1.01530472E+02
2.46875000E+03, -8.87842156E+01
2.48437500E+03, -9.33854129E+01
2.50000000E+03, -8.72210161E+01
2.51562500E+03, -8.40297702E+01
2.53125000E+03, -8.97151400E+01
2.54687500E+03, -9.14752395E+01
2.56250000E+03, -8.94431144E+01
2.57812500E+03, -9.01197315E+01
2.59375000E+03, -9.27504073E+01
2.60937500E+03, -9.47162881E+01
2.62500000E+03, -9.45429967E+01
2.64062500E+03, -8.39361941E+01
2.65625000E+03, -8.89851389E+01
2.67187500E+03, -8.85794479E+01
2.68750000E+03, -8.37397523E+01
2.70312500E+03, -8.55257843E+01
2.71875000E+03, -9.52412071E+01
2.73437500E+03, -8.68128065E+01
2.75000000E+03, -8.62245011E+01
2.76562500E+03, -8.76149658E+01
2.78125000E+03, -8.99469016E+01
2.79687500E+03, -9.62979623E+01
2.81250000E+03, -9.60409541E+01
