F,G,P
5.00000000000e00,1.92655819389e02,1.79945693970e02
5.37620000000e00,1.92540123346e02,1.79948059082e02
5.78070000000e00,1.92461496596e02,1.79911254883e02
6.21560000000e00,1.92582805647e02,1.79875457764e02
6.68330000000e00,1.92459642850e02,1.79891281128e02
7.18610000000e00,1.92465441652e02,1.79889648438e02
7.72680000000e00,1.92414451725e02,1.79896804810e02
8.30820000000e00,1.92530801040e02,1.79914108276e02
8.93330000000e00,1.92445722583e02,1.79864242554e02
9.60540000000e00,1.92492768355e02,1.79866943359e02
1.03281000000e01,1.92494317146e02,1.79863037109e02
1.11052000000e01,1.92525298458e02,1.79872238159e02
1.19408000000e01,1.92508937533e02,1.79840988159e02
1.28392000000e01,1.92539014989e02,1.79808090210e02
1.38052000000e01,1.92182429726e02,1.79787719727e02
1.48439000000e01,1.92507858489e02,1.79769226074e02
1.59607000000e01,1.92564697281e02,1.79779464722e02
1.71616000000e01,1.92609988355e02,1.79726165771e02
1.84528000000e01,1.92448670115e02,1.79689025879e02
1.98412000000e01,1.92487442754e02,1.79717010498e02
2.13340000000e01,1.92346475598e02,1.79766555786e02
2.29392000000e01,1.92523665013e02,1.79699890137e02
2.46651000000e01,1.92451205269e02,1.79634704590e02
2.65209000000e01,1.92597322917e02,1.79630935669e02
2.85163000000e01,1.92520517380e02,1.79571319580e02
3.06619000000e01,1.92534359957e02,1.79553955078e02
3.29689000000e01,1.92551739045e02,1.79559417725e02
3.54494000000e01,1.92518537110e02,1.79502777100e02
3.81166000000e01,1.92476869463e02,1.79500595093e02
4.09845000000e01,1.92573829690e02,1.79449890137e02
4.40681000000e01,1.92597796850e02,1.79368515015e02
4.73838000000e01,1.92601838204e02,1.79307250977e02
5.09489000000e01,1.92515746912e02,1.79294387817e02
5.47823000000e01,1.92516727658e02,1.79179092407e02
5.89040000000e01,1.92559234866e02,1.79180480957e02
6.33359000000e01,1.92464210993e02,1.79141937256e02
6.81013000000e01,1.92529570685e02,1.79083709717e02
7.32252000000e01,1.92486304795e02,1.78962951660e02
7.87346000000e01,1.92568837341e02,1.78886215210e02
8.46586000000e01,1.92524135034e02,1.78802581787e02
9.10282000000e01,1.92536803980e02,1.78729461670e02
9.78771000000e01,1.92495355440e02,1.78611953735e02
1.05241300000e02,1.92440349181e02,1.78503097534e02
1.13159600000e02,1.92568548891e02,1.78378936768e02
1.21673700000e02,1.92605439030e02,1.78285293579e02
1.30828300000e02,1.92510310912e02,1.78153213501e02
1.40671800000e02,1.92472495806e02,1.77989929199e02
1.51255800000e02,1.92457149384e02,1.77890014648e02
1.62636200000e02,1.92347075754e02,1.77687026978e02
1.74872800000e02,1.92410066238e02,1.77510513306e02
1.88030200000e02,1.92299848582e02,1.77339279175e02
2.02177400000e02,1.92282921488e02,1.77137451172e02
2.17389100000e02,1.92293125138e02,1.76916000366e02
2.33745300000e02,1.92179250513e02,1.76673080444e02
2.51332200000e02,1.92026092404e02,1.76440490723e02
2.70242300000e02,1.92000981025e02,1.76165191650e02
2.90575100000e02,1.91976144719e02,1.75903610229e02
3.12437800000e02,1.91727576651e02,1.75589218140e02
3.35945400000e02,1.91768879273e02,1.75241775513e02
3.61221700000e02,1.91559207796e02,1.74873138428e02
3.88399800000e02,1.91314775391e02,1.74516799927e02
4.17622800000e02,1.91200059535e02,1.74118331909e02
4.49044400000e02,1.91150476803e02,1.73623245239e02
4.82830200000e02,1.90756459369e02,1.73195343018e02
5.19158100000e02,1.90484791393e02,1.72694946289e02
5.58219200000e02,1.90339472472e02,1.72147705078e02
6.00219200000e02,1.89875217495e02,1.71545761108e02
6.45379300000e02,1.89660238902e02,1.70914031982e02
6.93937300000e02,1.89197702497e02,1.70272171021e02
7.46148600000e02,1.88647034482e02,1.69542251587e02
8.02288400000e02,1.88007125819e02,1.68767211914e02
8.62652000000e02,1.87350699402e02,1.67971099854e02
9.27557400000e02,1.86538512079e02,1.67090408325e02
9.97346200000e02,1.85784071238e02,1.66141296387e02
1.07238590000e03,1.84872333092e02,1.65268066406e02
1.15307150000e03,1.83598451313e02,1.64170944214e02
1.23982790000e03,1.82331323157e02,1.63052017212e02
1.33311170000e03,1.80864013101e02,1.61920547485e02
1.43341420000e03,1.79277817765e02,1.60655090332e02
1.54126340000e03,1.77449814475e02,1.59354980469e02
1.65722700000e03,1.75457313786e02,1.57978927612e02
1.78191570000e03,1.73294870660e02,1.56574325562e02
1.91598590000e03,1.70877341305e02,1.55161468506e02
