F,G,P
2.06014340000e03,1.68019436210e02,1.53504394531e02
2.21514730000e03,1.64710036449e02,1.51917144775e02
2.38181350000e03,1.61658583683e02,1.50357711792e02
2.56101960000e03,1.58184064996e02,1.48686889648e02
2.75370910000e03,1.54148205150e02,1.47007644653e02
2.96089630000e03,1.50242599005e02,1.45275848389e02
3.18367230000e03,1.45894257186e02,1.43517028809e02
3.42320970000e03,1.41330211227e02,1.41930816650e02
3.68076980000e03,1.36397972310e02,1.40070495605e02
3.95770850000e03,1.31392795967e02,1.38296432495e02
4.25548390000e03,1.26602627558e02,1.36763687134e02
4.57566380000e03,1.21522142590e02,1.35137008667e02
4.91993370000e03,1.15889672064e02,1.33535888672e02
5.29010630000e03,1.10624116617e02,1.32267425537e02
5.68813050000e03,1.05466628325e02,1.30734176636e02
6.11610180000e03,1.00083025965e02,1.29434539795e02
6.57627330000e03,9.49997900405e01,1.28347335815e02
7.07106780000e03,8.98066228457e01,1.27253479004e02
7.60309040000e03,8.50691528003e01,1.26395538330e02
8.17514190000e03,8.06154377927e01,1.25565773010e02
8.79023430000e03,7.58662726282e01,1.24831436157e02
9.45160580000e03,7.16781321243e01,1.24444602966e02
1.01627385000e04,6.75047538900e01,1.23879348755e02
1.09273764000e04,6.34386562776e01,1.23733093262e02
1.17495451000e04,5.97948544540e01,1.23488906860e02
1.26335732000e04,5.61851354563e01,1.23489418030e02
1.35841151000e04,5.29888269531e01,1.23664436340e02
1.46061751000e04,4.99333004864e01,1.23874389648e02
1.57051342000e04,4.69915189283e01,1.24308280945e02
1.68867783000e04,4.43434879483e01,1.24851020813e02
1.81573285000e04,4.17831239723e01,1.25549545288e02
1.95234742000e04,3.95297648120e01,1.26364097595e02
2.09924077000e04,3.73855374614e01,1.27287399292e02
2.25718628000e04,3.54180496813e01,1.28315093994e02
2.42701551000e04,3.36005280586e01,1.29473983765e02
2.60962258000e04,3.19103096544e01,1.30749755859e02
2.80596889000e04,3.04332106857e01,1.32073318481e02
3.01708817000e04,2.90490784428e01,1.33553283691e02
3.24409192000e04,2.77888609522e01,1.35074447632e02
3.48817529000e04,2.66398910498e01,1.36607452393e02
3.75062334000e04,2.56219547665e01,1.38254837036e02
4.03281780000e04,2.46777966725e01,1.39885742188e02
4.33624440000e04,2.38536919662e01,1.41621200562e02
4.66250061000e04,2.31098886948e01,1.43324981689e02
5.01330413000e04,2.24456538778e01,1.45002624512e02
5.39050188000e04,2.18485049002e01,1.46722915649e02
5.79607974000e04,2.13194346286e01,1.48378677368e02
6.23217301000e04,2.08531474797e01,1.50009674072e02
6.70107767000e04,2.04386850546e01,1.51613586426e02
7.20526240000e04,2.00699648814e01,1.53149032593e02
7.74738166000e04,1.97491174482e01,1.54654327393e02
8.33028963000e04,1.94666755241e01,1.56077163696e02
8.95705522000e04,1.92215034101e01,1.57442749023e02
9.63097823000e04,1.90006511924e01,1.58741134644e02
1.03556067800e05,1.88115656624e01,1.59977645874e02
1.11347559200e05,1.86448646309e01,1.61146865845e02
1.19725277200e05,1.85053523970e01,1.62241226196e02
1.28733329400e05,1.83835760559e01,1.63251708984e02
1.38419141500e05,1.82689151948e01,1.64238388062e02
1.48833707800e05,1.81778553129e01,1.65114318848e02
1.60031859400e05,1.81025159779e01,1.65944015503e02
1.72072552600e05,1.80285816209e01,1.66713607788e02
1.85019179700e05,1.79672651138e01,1.67427154541e02
1.98939902700e05,1.79158884387e01,1.68076599121e02
2.13908011800e05,1.78752429698e01,1.68681747437e02
2.30002311800e05,1.78387846542e01,1.69201065063e02
2.47307536400e05,1.78080970089e01,1.69682785034e02
2.65914794800e05,1.77832071019e01,1.70124771118e02
2.85922051400e05,1.77677914156e01,1.70528366089e02
3.07434640900e05,1.77512863054e01,1.70854049683e02
3.30565823700e05,1.77482945848e01,1.71169616699e02
3.55437381700e05,1.77463285790e01,1.71415130615e02
3.82180259500e05,1.77506895658e01,1.71604385376e02
4.10935254100e05,1.77586895142e01,1.71754135132e02
4.41853755800e05,1.77731775487e01,1.71853561401e02
4.75098545600e05,1.77897078876e01,1.71919235229e02
5.10844651700e05,1.78181973840e01,1.71952056885e02
5.49280271700e05,1.78591098912e01,1.71943145752e02
5.90607762700e05,1.78975800338e01,1.71855255127e02
6.35044707300e05,1.79490872827e01,1.71734985352e02
6.82825058800e05,1.80176990970e01,1.71558151245e02
7.34200373000e05,1.80977355890e01,1.71331298828e02
7.89441132400e05,1.81987726188e01,1.71059494019e02
8.48838170700e05,1.83442757084e01,1.70654693604e02
9.12704203500e05,1.85239127755e01,1.70183715820e02
9.81375475300e05,1.87685268415e01,1.69629318237e02
1.05521352890e06,1.91553684050e01,1.68672943115e02
1.13460710980e06,1.97457724441e01,1.66831909180e02
1.21997421210e06,2.03993164484e01,1.62803848267e02
1.31176427980e06,1.95553484571e01,1.54180435181e02
1.41046057260e06,1.53086407132e01,1.54154922485e02
1.51658271040e06,1.50039309267e01,1.67481460571e02
1.63068940900e06,1.76109656950e01,1.71894973755e02
1.75338142140e06,2.00956107578e01,1.68511779785e02
1.88530470130e06,2.14845357069e01,1.62565704346e02
2.02715380300e06,2.19137161157e01,1.56557754517e02
2.17967553910e06,2.18811240906e01,1.51084152222e02
2.34367291160e06,2.14772353014e01,1.45251998901e02
2.52000933990e06,2.08060438597e01,1.41033874512e02
2.70961320660e06,1.94794738032e01,1.35317672729e02
2.91348274520e06,1.83591690220e01,1.35771484375e02
3.13269129550e06,1.94750405836e01,1.29253829956e02
3.36839295480e06,1.78638253226e01,1.22723686218e02
3.62182865390e06,1.57623271658e01,1.15063385010e02
3.89433269050e06,1.30137701160e01,1.17375732422e02
4.18733975390e06,1.22932807873e01,1.19179405212e02
4.50239247850e06,1.12052946910e01,1.22577857971e02
4.84114956550e06,1.07948183805e01,1.29999465942e02
5.20539451590e06,1.32235638540e01,1.37740020752e02
5.59704501990e06,1.77120606196e01,1.31500198364e02
6.01816305350e06,2.38254356477e01,9.93318252563e01
6.47096573460e06,9.98695821897e00,3.71906127930e01
6.95783699550e06,7.11916786802e00,1.21148368835e02
7.48134013390e06,1.00777911469e01,1.16985916138e02
8.04423130860e06,1.11091146162e01,1.09976501465e02
8.64947404980e06,1.14098127933e01,1.03430534363e02
9.30025486200e06,1.18144568775e01,9.74337692261e01
1.00000000000e07,1.18900241202e01,8.87471694946e01
