F,G,P
1.43341420000e03,3.93953871620e00,-1.79789764404e02
1.54126340000e03,3.94103663502e00,-1.79768463135e02
1.65722700000e03,3.94032385580e00,-1.79718276978e02
1.78191570000e03,3.93981895584e00,-1.79679046631e02
1.91598590000e03,3.94032361231e00,-1.79678802490e02
2.06014340000e03,3.94028908410e00,-1.79638031006e02
2.21514730000e03,3.94027922107e00,-1.79609649658e02
2.38181350000e03,3.94104417561e00,-1.79572906494e02
2.56101960000e03,3.94297150397e00,-1.79548034668e02
2.75370910000e03,3.94235840786e00,-1.79511932373e02
2.96089630000e03,3.93964110220e00,-1.79463439941e02
3.18367230000e03,3.94165474967e00,-1.79402999878e02
3.42320970000e03,3.94142515734e00,-1.79372787476e02
3.68076980000e03,3.94738103963e00,-1.79325225830e02
3.95770850000e03,3.94338283841e00,-1.79243362427e02
4.25548390000e03,3.94245742562e00,-1.79253982544e02
4.57566380000e03,3.94377808505e00,-1.79161819458e02
4.91993370000e03,3.94365151040e00,-1.79139709473e02
5.29010630000e03,3.94389498004e00,-1.79024993896e02
5.68813050000e03,3.94629488739e00,-1.78962081909e02
6.11610180000e03,3.94439576935e00,-1.78880203247e02
6.57627330000e03,3.94446579860e00,-1.78806869507e02
7.07106780000e03,3.94447779836e00,-1.78725341797e02
7.60309040000e03,3.94198007734e00,-1.78632781982e02
8.17514190000e03,3.94614251902e00,-1.78478958130e02
8.79023430000e03,3.94791234534e00,-1.78384475708e02
9.45160580000e03,3.95006597199e00,-1.78282196045e02
1.01627385000e04,3.94193916853e00,-1.78191329956e02
1.09273764000e04,3.94925995319e00,-1.78034072876e02
1.17495451000e04,3.94781383198e00,-1.77981216431e02
1.26335732000e04,3.94951429442e00,-1.77722030640e02
1.35841151000e04,3.94659694255e00,-1.77591140747e02
1.46061751000e04,3.94679224067e00,-1.77507110596e02
1.57051342000e04,3.94316708174e00,-1.77220382690e02
1.68867783000e04,3.95341985529e00,-1.76983200073e02
1.81573285000e04,3.95643371527e00,-1.76682067871e02
1.95234742000e04,3.94002068669e00,-1.76470123291e02
2.09924077000e04,3.95726690842e00,-1.76287948608e02
2.25718628000e04,3.96381332486e00,-1.75839340210e02
2.42701551000e04,3.95109362736e00,-1.75617843628e02
2.60962258000e04,3.97302734869e00,-1.75361282349e02
2.80596889000e04,3.96556980836e00,-1.74951354980e02
3.01708817000e04,3.96955363603e00,-1.74384658813e02
3.24409192000e04,3.97130760338e00,-1.74113906860e02
3.48817529000e04,3.97377741998e00,-1.73571411133e02
3.75062334000e04,3.97256468075e00,-1.73450042725e02
4.03281780000e04,3.98466809577e00,-1.72635864258e02
4.33624440000e04,3.98059573105e00,-1.72063507080e02
4.66250061000e04,4.00015827552e00,-1.71624176025e02
5.01330413000e04,4.00957150977e00,-1.71294723511e02
5.39050188000e04,4.05237858955e00,-1.70383209229e02
5.79607974000e04,4.03156688270e00,-1.69418289185e02
6.23217301000e04,4.04625082603e00,-1.68946517944e02
6.70107767000e04,4.05195682271e00,-1.68181808472e02
7.20526240000e04,4.04438347226e00,-1.66992294312e02
7.74738166000e04,4.08343725306e00,-1.66599441528e02
8.33028963000e04,4.08751105979e00,-1.65345199585e02
8.95705522000e04,4.15609184965e00,-1.64376022339e02
9.63097823000e04,4.17193594425e00,-1.63068023682e02
1.03556067800e05,4.22521480890e00,-1.62263320923e02
1.11347559200e05,4.24630219861e00,-1.60893508911e02
1.19725277200e05,4.28156311560e00,-1.59223052979e02
1.28733329400e05,4.40305330806e00,-1.57844711304e02
1.38419141500e05,4.34839524017e00,-1.56982925415e02
1.48833707800e05,4.39995148175e00,-1.55238693237e02
1.60031859400e05,4.57795520702e00,-1.53429031372e02
1.72072552600e05,4.64786413888e00,-1.52713073730e02
1.85019179700e05,4.65670363983e00,-1.50935699463e02
1.98939902700e05,4.76590284872e00,-1.49910049438e02
2.13908011800e05,4.95992670618e00,-1.47066696167e02
2.30002311800e05,5.09186846972e00,-1.45735687256e02
2.47307536400e05,5.25963515745e00,-1.44387283325e02
2.65914794800e05,5.45798841513e00,-1.42599166870e02
2.85922051400e05,5.57324046216e00,-1.41087768555e02
3.07434640900e05,5.80092464169e00,-1.39328369141e02
3.30565823700e05,6.12345665114e00,-1.38137496948e02
3.55437381700e05,6.31628466360e00,-1.36603393555e02
3.82180259500e05,6.61377842075e00,-1.35333267212e02
4.10935254100e05,6.94057524009e00,-1.33717285156e02
4.41853755800e05,7.25551540934e00,-1.33151748657e02
4.75098545600e05,7.62801990513e00,-1.31357254028e02
5.10844651700e05,8.01252396915e00,-1.30906616211e02
5.49280271700e05,8.51375754669e00,-1.29893768311e02
5.90607762700e05,9.00709952169e00,-1.28764984131e02
6.35044707300e05,9.51964741678e00,-1.28738021851e02
6.82825058800e05,1.00947514294e01,-1.28028167725e02
7.34200373000e05,1.07043582588e01,-1.27443405151e02
7.89441132400e05,1.13107923793e01,-1.27916801453e02
8.48838170700e05,1.20461237639e01,-1.28037078857e02
9.12704203500e05,1.28401994782e01,-1.28123641968e02
9.81375475300e05,1.36091658365e01,-1.28426681519e02
1.05521352890e06,1.45101315875e01,-1.29063598633e02
1.13460710980e06,1.54356220615e01,-1.29637359619e02
1.21997421210e06,1.60534786514e01,-1.30426330566e02
1.31176427980e06,1.74581229032e01,-1.30970947266e02
1.41046057260e06,1.86230095021e01,-1.31951187134e02
1.51658271040e06,1.94715829419e01,-1.34791305542e02
1.63068940900e06,2.11644470547e01,-1.35169692993e02
1.75338142140e06,2.18056229053e01,-1.36808395386e02
1.88530470130e06,2.28923064743e01,-1.38088592529e02
2.02715380300e06,2.39321928782e01,-1.40403747559e02
2.17967553910e06,2.51922753372e01,-1.42602493286e02
2.34367291160e06,2.63281635985e01,-1.44838607788e02
2.52000933990e06,2.76039875080e01,-1.47019363403e02
2.70961320660e06,2.88123257205e01,-1.49135345459e02
2.91348274520e06,3.00819026347e01,-1.51789855957e02
3.13269129550e06,3.11504121591e01,-1.54810134888e02
3.36839295480e06,3.23531939545e01,-1.57249740601e02
3.62182865390e06,3.33477059110e01,-1.60064071655e02
3.89433269050e06,3.42980137552e01,-1.63297775269e02
4.18733975390e06,3.53237298309e01,-1.66131454468e02
4.50239247850e06,3.67755146726e01,-1.68616409302e02
4.84114956550e06,3.79919477793e01,-1.71532546997e02
5.20539451590e06,3.95694945858e01,-1.76172485352e02
5.59704501990e06,3.99787644275e01,1.79325088501e02
6.01816305350e06,4.09641591857e01,1.75796127319e02
6.47096573460e06,4.23721212454e01,1.70928436279e02
6.95783699550e06,4.25494768997e01,1.67373535156e02
7.48134013390e06,4.34125008408e01,1.62799407959e02
8.04423130860e06,4.46587761068e01,1.57443252563e02
8.64947404980e06,4.48401365700e01,1.51832870483e02
9.30025486200e06,4.51819049930e01,1.45953918457e02
1.00000000000e07,4.63481147883e01,1.39520553589e02
