F,G,P
5.00000000000e00,3.94786003561e00,1.79988555908e02
5.37620000000e00,3.94103316717e00,-1.79997802734e02
5.78070000000e00,3.94151361058e00,1.79996444702e02
6.21560000000e00,3.94455464264e00,1.79987319946e02
6.68330000000e00,3.94473423000e00,1.79999359131e02
7.18610000000e00,3.94446145911e00,1.79998428345e02
7.72680000000e00,3.94462067087e00,1.79998596191e02
8.30820000000e00,3.94460062089e00,-1.79999588013e02
8.93330000000e00,3.94455452324e00,1.79998580933e02
9.60540000000e00,3.94450668481e00,-1.79998840332e02
1.03281000000e01,3.94458943307e00,1.79999191284e02
1.11052000000e01,3.94440082306e00,-1.79997955322e02
1.19408000000e01,3.94456087968e00,1.79999282837e02
1.28392000000e01,3.94466807631e00,1.79999771118e02
1.38052000000e01,3.94447926532e00,1.79997528076e02
1.48439000000e01,3.94480049549e00,1.79995712280e02
1.59607000000e01,3.94456775758e00,1.79998672485e02
1.71616000000e01,3.94464357019e00,1.79997314453e02
1.84528000000e01,3.94453494641e00,-1.79999740601e02
1.98412000000e01,3.94493560023e00,1.79998535156e02
2.13340000000e01,3.94480459340e00,-1.79998291016e02
2.29392000000e01,3.94479391622e00,-1.79998458862e02
2.46651000000e01,3.94468988170e00,-1.79998138428e02
2.65209000000e01,3.94479207021e00,-1.79999023438e02
2.85163000000e01,3.94481433522e00,-1.79995223999e02
3.06619000000e01,3.94469599822e00,-1.79998260498e02
3.29689000000e01,3.94478369226e00,-1.79992858887e02
3.54494000000e01,3.94464854725e00,-1.79998321533e02
3.81166000000e01,3.94470227461e00,-1.79998428345e02
4.09845000000e01,3.94469893101e00,-1.79997222900e02
4.40681000000e01,3.94475692849e00,-1.79996322632e02
4.73838000000e01,3.94461301706e00,-1.79992874146e02
5.09489000000e01,3.94445749386e00,-1.79991226196e02
5.47823000000e01,3.94455886163e00,-1.79999313354e02
5.89040000000e01,3.94449436045e00,-1.79993469238e02
6.33359000000e01,3.94460892107e00,-1.79994522095e02
6.81013000000e01,3.94447738147e00,-1.79992675781e02
7.32252000000e01,3.94446185359e00,-1.79991928101e02
7.87346000000e01,3.94437910553e00,-1.79989288330e02
8.46586000000e01,3.94445988480e00,-1.79989593506e02
9.10282000000e01,3.94427193767e00,-1.79986450195e02
9.78771000000e01,3.94442159126e00,-1.79988525391e02
1.05241300000e02,3.94428750461e00,-1.79986618042e02
1.13159600000e02,3.94369296826e00,-1.79987792969e02
1.21673700000e02,3.94406665187e00,-1.79980728149e02
1.30828300000e02,3.94344010164e00,-1.79981628418e02
1.40671800000e02,3.94331340129e00,-1.79982330322e02
1.51255800000e02,3.94352510227e00,-1.79983337402e02
1.62636200000e02,3.94381840487e00,-1.79979476929e02
1.74872800000e02,3.94332650608e00,-1.79976440430e02
1.88030200000e02,3.94226237822e00,-1.79969879150e02
2.02177400000e02,3.94320605754e00,-1.79972671509e02
2.17389100000e02,3.94274505903e00,-1.79964050293e02
2.33745300000e02,3.94294274869e00,-1.79957550049e02
2.51332200000e02,3.94232388415e00,-1.79963668823e02
2.70242300000e02,3.94313217650e00,-1.79955261230e02
2.90575100000e02,3.94313445239e00,-1.79958953857e02
3.12437800000e02,3.94188208363e00,-1.79951583862e02
3.35945400000e02,3.94237190968e00,-1.79940856934e02
3.61221700000e02,3.94264338195e00,-1.79954727173e02
3.88399800000e02,3.94257018647e00,-1.79940139771e02
4.17622800000e02,3.94213322371e00,-1.79941070557e02
4.49044400000e02,3.94175383937e00,-1.79933807373e02
4.82830200000e02,3.94131303038e00,-1.79917343140e02
5.19158100000e02,3.94137262119e00,-1.79922088623e02
5.58219200000e02,3.94118547091e00,-1.79911468506e02
6.00219200000e02,3.94159701112e00,-1.79910217285e02
6.45379300000e02,3.94130295042e00,-1.79899291992e02
6.93937300000e02,3.94128081423e00,-1.79883239746e02
7.46148600000e02,3.94058768410e00,-1.79888031006e02
8.02288400000e02,3.94043295784e00,-1.79869750977e02
8.62652000000e02,3.94025793441e00,-1.79845779419e02
9.27557400000e02,3.93970605553e00,-1.79850418091e02
9.97346200000e02,3.94032656526e00,-1.79830429077e02
1.07238590000e03,3.93950417820e00,-1.79813980103e02
1.15307150000e03,3.93867771785e00,-1.79789047241e02
1.23982790000e03,3.93870102265e00,-1.79785751343e02
1.33311170000e03,3.93898072413e00,-1.79778518677e02
