Label:, CH1: Power Spectrum
DateTime:, Wed Sep 24 20:10:51 2014
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 10000.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Log
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms, PSD
0.00000000E+00, -7.01185851E+01
1.56250000E+00, -7.21349402E+01
3.12500000E+00, -8.48769890E+01
4.68750000E+00, -7.74499184E+01
6.25000000E+00, -6.92187235E+01
7.81250000E+00, -6.86856693E+01
9.37500000E+00, -6.63894404E+01
1.09375000E+01, -6.44951450E+01
1.25000000E+01, -6.50091287E+01
1.40625000E+01, -6.97808979E+01
1.56250000E+01, -7.70898089E+01
1.71875000E+01, -6.82217257E+01
1.87500000E+01, -6.64098508E+01
2.03125000E+01, -6.54391437E+01
2.18750000E+01, -6.35295509E+01
2.34375000E+01, -6.67604768E+01
2.50000000E+01, -7.11895379E+01
2.65625000E+01, -7.42269152E+01
2.81250000E+01, -8.68943813E+01
2.96875000E+01, -6.98700743E+01
3.12500000E+01, -6.79331225E+01
3.28125000E+01, -6.62970592E+01
3.43750000E+01, -6.42872380E+01
3.59375000E+01, -6.62087549E+01
3.75000000E+01, -6.93574592E+01
3.90625000E+01, -9.08061163E+01
4.06250000E+01, -7.08327344E+01
4.21875000E+01, -7.38736013E+01
4.37500000E+01, -6.57281535E+01
4.53125000E+01, -6.30140334E+01
4.68750000E+01, -6.81711806E+01
4.84375000E+01, -7.60465624E+01
5.00000000E+01, -6.42849577E+01
5.15625000E+01, -6.52803246E+01
5.31250000E+01, -6.77730605E+01
5.46875000E+01, -6.57647502E+01
5.62500000E+01, -6.81543567E+01
5.78125000E+01, -7.43836199E+01
5.93750000E+01, -7.08499991E+01
6.09375000E+01, -6.64211960E+01
6.25000000E+01, -6.52105876E+01
6.40625000E+01, -6.49611674E+01
6.56250000E+01, -6.52999705E+01
6.71875000E+01, -7.12645289E+01
6.87500000E+01, -7.69948753E+01
7.03125000E+01, -7.35911043E+01
7.18750000E+01, -7.24692677E+01
7.34375000E+01, -8.18501676E+01
7.50000000E+01, -7.32860818E+01
7.65625000E+01, -6.62975064E+01
7.81250000E+01, -6.95105243E+01
7.96875000E+01, -7.30088136E+01
8.12500000E+01, -7.31962889E+01
8.28125000E+01, -6.95136666E+01
8.43750000E+01, -6.76217531E+01
8.59375000E+01, -6.57941743E+01
8.75000000E+01, -6.44365443E+01
8.90625000E+01, -6.55045723E+01
9.06250000E+01, -6.88338545E+01
9.21875000E+01, -7.04653541E+01
9.37500000E+01, -7.10986304E+01
9.53125000E+01, -6.59317341E+01
9.68750000E+01, -6.77425640E+01
9.84375000E+01, -7.27604394E+01
1.00000000E+02, -6.60815952E+01
1.01562500E+02, -6.52504036E+01
1.03125000E+02, -6.78099537E+01
1.04687500E+02, -6.55411789E+01
1.06250000E+02, -6.83415691E+01
1.07812500E+02, -7.42930988E+01
1.09375000E+02, -6.91530812E+01
1.10937500E+02, -6.72133141E+01
1.12500000E+02, -7.26827742E+01
1.14062500E+02, -8.44532702E+01
1.15625000E+02, -7.66381094E+01
1.17187500E+02, -6.54331280E+01
1.18750000E+02, -6.49886812E+01
1.20312500E+02, -6.67895744E+01
1.21875000E+02, -6.89119714E+01
1.23437500E+02, -7.15868193E+01
1.25000000E+02, -8.49476734E+01
1.26562500E+02, -8.12785764E+01
1.28125000E+02, -7.09870256E+01
1.29687500E+02, -7.05823259E+01
1.31250000E+02, -7.31135027E+01
1.32812500E+02, -8.21120586E+01
1.34375000E+02, -7.56984029E+01
1.35937500E+02, -7.20909917E+01
1.37500000E+02, -6.72349683E+01
1.39062500E+02, -6.12811617E+01
1.40625000E+02, -6.22234882E+01
1.42187500E+02, -6.66370037E+01
1.43750000E+02, -6.58670474E+01
1.45312500E+02, -6.76801274E+01
1.46875000E+02, -6.91723317E+01
1.48437500E+02, -7.94265012E+01
1.50000000E+02, -6.28058099E+01
1.51562500E+02, -6.80250613E+01
1.53125000E+02, -7.79553461E+01
1.54687500E+02, -7.22891052E+01
1.56250000E+02, -7.62059192E+01
1.57812500E+02, -6.73497559E+01
1.59375000E+02, -6.95701625E+01
1.60937500E+02, -6.97392270E+01
1.62500000E+02, -6.96459797E+01
1.64062500E+02, -7.07319315E+01
1.65625000E+02, -7.34329875E+01
1.67187500E+02, -6.67158376E+01
1.68750000E+02, -6.59174200E+01
1.70312500E+02, -6.81583771E+01
1.71875000E+02, -9.30905910E+01
1.73437500E+02, -6.96406167E+01
1.75000000E+02, -6.80914990E+01
1.76562500E+02, -7.28916429E+01
1.78125000E+02, -7.39377519E+01
1.79687500E+02, -7.60578779E+01
1.81250000E+02, -8.54992156E+01
1.82812500E+02, -8.56187506E+01
1.84375000E+02, -7.59007813E+01
1.85937500E+02, -7.34390098E+01
1.87500000E+02, -6.88908250E+01
