F,G,P
1.15307150000e03,2.04554694996e04,8.68027877808e01
1.23982790000e03,1.88885364645e04,8.45448532104e01
1.33311170000e03,1.74229117561e04,8.30338439941e01
1.43341420000e03,1.61506287368e04,8.10532455444e01
1.54126340000e03,1.49482837378e04,7.89956970215e01
1.65722700000e03,1.37670729317e04,7.70186004639e01
1.78191570000e03,1.26239976522e04,7.55625991821e01
1.91598590000e03,1.16159201084e04,7.33540725708e01
2.06014340000e03,1.06319249882e04,7.13790817261e01
2.21514730000e03,9.74400789829e03,6.94355163574e01
2.38181350000e03,8.87890673180e03,6.73785324097e01
2.56101960000e03,8.08102018527e03,6.53436889648e01
2.75370910000e03,7.31848245495e03,6.36039123535e01
2.96089630000e03,6.64932349445e03,6.14774131775e01
3.18367230000e03,5.99676270653e03,5.95346412659e01
3.42320970000e03,5.42179788637e03,5.76049003601e01
3.68076980000e03,4.84130229788e03,5.57272529602e01
3.95770850000e03,4.38017710795e03,5.39968986511e01
4.25548390000e03,3.90929351307e03,5.21203689575e01
4.57566380000e03,3.48263081037e03,5.05051307678e01
4.91993370000e03,3.08769326015e03,4.90085945129e01
5.29010630000e03,2.75762459594e03,4.74255905151e01
5.68813050000e03,2.43685263743e03,4.61765708923e01
6.11610180000e03,2.16157214684e03,4.48575019836e01
6.57627330000e03,1.90033426753e03,4.37889022827e01
7.07106780000e03,1.67782333766e03,4.28503608704e01
7.60309040000e03,1.47920611098e03,4.19118537903e01
8.17514190000e03,1.29866740216e03,4.13419990540e01
8.79023430000e03,1.14236246657e03,4.07623863220e01
9.45160580000e03,1.00201112185e03,4.03959732056e01
1.01627385000e04,8.78026187462e02,4.02771034241e01
1.09273764000e04,7.69919237472e02,4.02886352539e01
1.17495451000e04,6.75163193181e02,4.04581146240e01
1.26335732000e04,5.91944870720e02,4.08617935181e01
1.35841151000e04,5.18128570611e02,4.12441864014e01
1.46061751000e04,4.55349157252e02,4.18876838684e01
1.57051342000e04,3.99697772436e02,4.27808952332e01
1.68867783000e04,3.51360181264e02,4.38265609741e01
1.81573285000e04,3.09217787694e02,4.49778900146e01
1.95234742000e04,2.72602751849e02,4.62741546631e01
2.09924077000e04,2.40487337560e02,4.78002777100e01
2.25718628000e04,2.12603465736e02,4.94974403381e01
2.42701551000e04,1.88321762938e02,5.12930335999e01
2.60962258000e04,1.66983137090e02,5.32504653931e01
2.80596889000e04,1.48670890939e02,5.53700180054e01
3.01708817000e04,1.32758529350e02,5.76387100220e01
3.24409192000e04,1.18730862514e02,5.99975967407e01
3.48817529000e04,1.06556930016e02,6.24971313477e01
3.75062334000e04,9.60132193292e01,6.50827560425e01
4.03281780000e04,8.66511917663e01,6.77189102173e01
4.33624440000e04,7.85015835216e01,7.04644622803e01
4.66250061000e04,7.13967766242e01,7.32954177856e01
5.01330413000e04,6.50979663253e01,7.62114486694e01
5.39050188000e04,5.96061931866e01,7.91727523804e01
5.79607974000e04,5.46582937507e01,8.20956878662e01
6.23217301000e04,5.03744546211e01,8.51565017700e01
6.70107767000e04,4.65872450080e01,8.82462310791e01
7.20526240000e04,4.31878978123e01,9.12752151489e01
7.74738166000e04,4.02226938923e01,9.43511276245e01
8.33028963000e04,3.75423908390e01,9.73866958618e01
8.95705522000e04,3.52149417880e01,1.00487731934e02
9.63097823000e04,3.31205373155e01,1.03497573853e02
1.03556067800e05,3.12427249971e01,1.06558044434e02
1.11347559200e05,2.95730495754e01,1.09751380920e02
1.19725277200e05,2.80966068825e01,1.12795883179e02
1.28733329400e05,2.68062557888e01,1.15551452637e02
1.38419141500e05,2.56325551566e01,1.18469490051e02
1.48833707800e05,2.45707195951e01,1.21517219543e02
1.60031859400e05,2.36500620405e01,1.24383697510e02
1.72072552600e05,2.28088959348e01,1.26889640808e02
1.85019179700e05,2.20770613072e01,1.29442718506e02
1.98939902700e05,2.14492537849e01,1.32146194458e02
2.13908011800e05,2.08921652326e01,1.34572677612e02
2.30002311800e05,2.04086020798e01,1.37119842529e02
2.47307536400e05,1.99649996505e01,1.39014068604e02
2.65914794800e05,1.95817538045e01,1.41138748169e02
2.85922051400e05,1.92552402046e01,1.43197753906e02
3.07434640900e05,1.89597388138e01,1.45091949463e02
3.30565823700e05,1.87138201310e01,1.46871520996e02
3.55437381700e05,1.84977634062e01,1.48656372070e02
3.82180259500e05,1.83366182430e01,1.49909408569e02
4.10935254100e05,1.81772284911e01,1.51196212769e02
4.41853755800e05,1.80094733562e01,1.52742767334e02
4.75098545600e05,1.79166258076e01,1.53875808716e02
5.10844651700e05,1.78326260968e01,1.54959182739e02
5.49280271700e05,1.77439394570e01,1.55312789917e02
5.90607762700e05,1.76857607687e01,1.55887390137e02
6.35044707300e05,1.76347026934e01,1.57029144287e02
6.82825058800e05,1.75692119358e01,1.57088729858e02
7.34200373000e05,1.74976755788e01,1.57582733154e02
7.89441132400e05,1.74607173236e01,1.58357040405e02
8.48838170700e05,1.74387145787e01,1.57516708374e02
9.12704203500e05,1.76160462228e01,1.58455703735e02
9.81375475300e05,1.75857802024e01,1.59288528442e02
1.05521352890e06,1.77539710043e01,1.58394363403e02
1.13460710980e06,1.84392946260e01,1.58474273682e02
1.21997421210e06,2.01288683709e01,1.55884384155e02
1.31176427980e06,1.89799490774e01,1.46132293701e02
1.41046057260e06,1.46972530323e01,1.44363555908e02
1.51658271040e06,1.34165999966e01,1.55008804321e02
1.63068940900e06,1.51557999753e01,1.61720458984e02
1.75338142140e06,1.64090129369e01,1.62399230957e02
1.88530470130e06,1.75319838949e01,1.60272521973e02
2.02715380300e06,1.82463269091e01,1.58784042358e02
2.17967553910e06,1.94376868630e01,1.51813934326e02
2.34367291160e06,1.86822403769e01,1.52561752319e02
