mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
507.000	-0.523	507.000	3511943530.325	1190.143	568.419	1758.562	0.323	-0.793	-0.798	0.040	-1.531
508.000	-0.523	508.000	3511943531.825	875.924	838.273	1714.197	0.489	-0.793	-0.798	-0.853	-1.531
509.000	0.587	509.000	3511943533.335	896.392	351.451	1247.844	0.282	-0.793	-0.798	-0.853	-1.531
510.000	0.587	510.000	3511943534.838	685.537	437.488	1123.025	0.390	-0.793	-0.798	-0.853	0.026
511.000	0.696	511.000	3511943536.327	917.216	310.208	1227.424	0.253	-0.793	-0.798	-0.853	0.026
512.000	0.696	512.000	3511943537.826	799.645	498.267	1297.912	0.384	-0.294	-0.798	-0.853	0.026
513.000	0.195	513.000	3511943539.326	1340.082	266.400	1606.483	0.166	-0.294	-0.798	-0.853	0.026
514.000	0.195	514.000	3511943540.827	1237.607	457.518	1695.125	0.270	-0.294	0.729	-0.853	0.026
515.000	0.741	515.000	3511943542.337	599.623	999.297	1598.920	0.625	-0.294	0.729	-0.853	0.026
516.000	0.741	516.000	3511943543.826	1105.117	521.454	1626.571	0.321	-0.294	0.729	0.475	0.026
517.000	0.494	517.000	3511943545.337	751.382	448.342	1199.724	0.374	-0.294	0.729	0.475	0.026
518.000	0.494	518.000	3511943546.826	940.126	161.616	1101.743	0.147	-0.294	0.729	0.475	0.577
519.000	0.094	519.000	3511943548.327	1039.849	264.032	1303.881	0.202	-0.294	0.729	0.475	0.577
520.000	0.094	520.000	3511943549.837	1315.218	82.683	1397.901	0.059	0.458	0.729	0.475	0.577
521.000	0.404	521.000	3511943551.336	1256.788	262.454	1519.241	0.173	0.458	0.729	0.475	0.577
522.000	0.404	522.000	3511943552.826	1596.359	177.995	1774.354	0.100	0.458	-1.339	0.475	0.577
523.000	-1.216	523.000	3511943554.327	1281.829	442.718	1724.547	0.257	0.458	-1.339	0.475	0.577
524.000	-1.216	524.000	3511943555.826	624.265	1115.526	1739.791	0.641	0.458	-1.339	-0.999	0.577
525.000	0.004	525.000	3511943557.327	1215.584	36.211	1251.795	0.029	0.458	-1.339	-0.999	0.577
526.000	0.004	526.000	3511943558.837	549.140	667.579	1216.719	0.549	0.458	-1.339	-0.999	-0.631
527.000	0.843	527.000	3511943560.328	1342.968	92.648	1435.616	0.065	0.458	-1.339	-0.999	-0.631
528.000	0.843	528.000	3511943561.827	505.938	766.838	1272.776	0.602	-0.319	-1.339	-0.999	-0.631
529.000	0.371	529.000	3511943563.327	1297.946	223.382	1521.328	0.147	-0.319	-1.339	-0.999	-0.631
530.000	0.371	530.000	3511943564.826	948.474	593.777	1542.250	0.385	-0.319	1.692	-0.999	-0.631
531.000	1.921	531.000	3511943566.337	1820.846	22.496	1843.342	0.012	-0.319	1.692	-0.999	-0.631
532.000	1.921	532.000	3511943567.827	969.830	836.497	1806.327	0.463	-0.319	1.692	2.287	-0.631
533.000	-0.345	533.000	3511943569.338	887.823	365.560	1253.384	0.292	-0.319	1.692	2.287	-0.631
534.000	-0.345	534.000	3511943570.828	1025.508	136.949	1162.457	0.118	-0.319	1.692	2.287	2.367
535.000	-2.632	535.000	3511943572.338	882.806	484.651	1367.457	0.354	-0.319	1.692	2.287	2.367
536.000	-2.632	536.000	3511943573.826	1106.937	164.181	1271.119	0.129	1.048	1.692	2.287	2.367
537.000	-1.687	537.000	3511943575.326	890.221	578.187	1468.408	0.394	1.048	1.692	2.287	2.367
538.000	-1.687	538.000	3511943576.837	1244.533	283.470	1528.003	0.186	1.048	1.984	2.287	2.367
539.000	0.189	539.000	3511943578.327	681.052	1058.892	1739.944	0.609	1.048	1.984	2.287	2.367
540.000	0.189	540.000	3511943579.837	1675.480	150.171	1825.651	0.082	1.048	1.984	-0.765	2.367
541.000	1.060	541.000	3511943581.337	1265.712	99.653	1365.366	0.073	1.048	1.984	-0.765	2.367
542.000	1.060	542.000	3511943582.827	806.038	330.040	1136.079	0.291	1.048	1.984	-0.765	-0.991
543.000	2.135	543.000	3511943584.328	924.542	439.264	1363.807	0.322	1.048	1.984	-0.765	-0.991
544.000	2.135	544.000	3511943585.827	961.927	399.107	1361.034	0.293	-0.916	1.984	-0.765	-0.991
545.000	1.136	545.000	3511943587.327	1563.237	133.792	1697.029	0.079	-0.916	1.984	-0.765	-0.991
546.000	1.136	546.000	3511943588.827	673.682	867.972	1541.653	0.563	-0.916	-2.316	-0.765	-0.991
547.000	-1.308	547.000	3511943590.327	1279.254	451.006	1730.260	0.261	-0.916	-2.316	-0.765	-0.991
548.000	-1.308	548.000	3511943591.837	1665.090	4.637	1669.728	0.003	-0.916	-2.316	0.957	-0.991
549.000	-2.123	549.000	3511943593.327	985.992	153.131	1139.123	0.134	-0.916	-2.316	0.957	-0.991
550.000	-2.123	550.000	3511943594.827	1250.039	51.800	1301.839	0.040	-0.916	-2.316	0.957	-0.127
551.000	-1.864	551.000	3511943596.328	881.829	411.144	1292.974	0.318	-0.916	-2.316	0.957	-0.127
552.000	-1.864	552.000	3511943597.826	1024.797	270.840	1295.638	0.209	2.130	-2.316	0.957	-0.127
