Trace
Log Plot
A.14.05,N9000A
5821.03217770872,-112.022387095041
5979.52473404552,-112.148825657944
6142.33265742502,-112.212704506611
6309.57344480193,-112.086511406505
6481.36779228742,-112.152572775082
6657.83968225436,-112.267358748999
6839.1164728143,-112.247727389728
7025.32898973052,-112.239272044449
7216.61162083388,-112.23884125305
7413.10241300917,-112.244949965555
7614.94317182231,-112.289341501252
7822.27956386003,-112.34349050452
8035.26122185617,-112.375829298884
8254.04185268019,-112.264233952379
8478.77934826592,-112.225825449403
8709.6358995608,-112.190811762925
8946.77811357749,-112.183846629107
9190.3771336326,-112.081017036986
9440.60876285923,-112.07505028707
9697.6535910825,-112.070811174051
9961.69712514941,-112.092815366097
10232.9299228075,-112.216942749707
10511.5477302287,-112.58213579558
10797.7516232771,-112.974656093798
11091.748152624,-113.061992152972
11393.7494928134,-113.077192999323
11703.9735953862,-112.832646444735
12022.6443461741,-112.887273035954
12349.9917268758,-113.00305164356
12686.2519810326,-113.139657478931
13031.667784523,-113.272992987233
13386.4884206999,-113.440150219439
13750.969960296,-113.41257243289
14125.3754462275,-113.228318674031
14509.9750834299,-113.145107845292
14905.046433862,-113.205335316145
15310.8746168203,-112.979622655924
15727.7525147067,-112.943213880554
16155.9809843987,-112.923178704453
16595.8690743756,-112.923051886292
17047.7342477552,-112.897045214484
17511.9026114046,-112.798461391617
17988.7091512879,-112.661235357032
18478.4979742229,-112.624333057204
18981.6225562196,-112.34106233402
19498.4459975804,-111.723209693043
20029.3412849465,-111.104032558205
20574.6915604784,-110.798082283546
21134.8903983665,-110.864909466549
21710.3420888696,-111.150815378116
22301.4619300874,-111.056601320474
22908.6765276777,-110.794664946085
23532.424102733,-110.639381100139
24173.154808041,-110.49569269702
24831.3310529557,-110.371790611208
25507.4278371136,-110.435675489472
26201.9330932367,-110.583929045446
26915.3480392692,-110.785883024931
27648.1875401011,-110.767571649979
28400.9804791422,-110.912345168498
29174.2701400117,-110.992017156169
29968.6145986212,-110.980455708693
30784.587125933,-111.006619701231
31622.7766016838,-110.918064740485
32483.7879393743,-110.964536918139
33368.2425228294,-111.079600940195
34276.778654645,-111.193615797884
35210.0520168452,-111.16759078452
36168.7361440816,-111.404973352866
37153.5229097173,-111.636632944923
38165.1230251451,-111.688862830969
39204.2665527015,-111.441582697674
40271.7034325459,-111.292631096508
41368.2040238851,-111.317405163005
42494.5596609344,-111.337332836084
43651.5832240166,-111.312168414597
44840.1097262092,-111.166690008347
46060.9969159666,-111.167950686606
47315.1258961481,-110.994435039406
48603.4017599021,-110.965680927725
49926.7542438638,-110.706214444231
51286.1383991365,-110.661937376752
52682.5352805435,-110.58546270013
54116.9526546464,-110.441110546758
55590.4257270404,-110.525248762862
57104.0178894527,-110.508391936977
58658.8214871824,-110.551450479498
60255.9586074358,-110.4769901059
61896.581889126,-110.323911205681
63581.8753547223,-110.070695861239
65313.0552647473,-109.977559695685
67091.3709955411,-109.940030628251
68918.105940925,-109.970281918601
70794.5784384139,-109.867337549576
72722.1427206485,-110.027231795898
74702.1898927332,-110.118728877416
76736.148936182,-109.924084716434
78825.4877402021,-109.813314068691
80971.7141610562,-109.77869650493
83176.3771102672,-109.763112802243
85441.0676724535,-109.62291591185
87767.4202536006,-109.63842311243
90157.1137605956,-109.571905248801
92611.8728128793,-109.708753921471
95133.4689870874,-109.6878450393
97723.722095581,-109.967722726767
100384.501499788,-110.087137366051
103117.727459306,-109.903254754776
105925.372517729,-109.859531545266
108809.462926223,-109.880160373708
111772.080105845,-110.05059487952
114815.362149688,-110.342803466479
117941.505365925,-110.508891868567
121152.765862859,-110.8849734087
124451.461177138,-111.078463175114
127839.971946302,-111.073390674834
131320.743626862,-111.154226381326
134896.288259165,-111.248393118021
138569.186280313,-111.451354157525
142342.088386434,-111.817399220884
146217.717445672,-111.987874534348
150198.870463249,-112.126794195125
154288.420600041,-112.324602892825
158489.319246111,-112.552345859427
162804.5981507,-112.908247345044
167237.371610208,-113.117294387095
171790.838715759,-113.277747049022
176468.28566195,-113.425511824769
181273.08811847,-113.543007116429
186208.713666287,-113.748134328314
191278.72430017,-114.021296467156
196486.778999347,-114.120592733604
201836.636368156,-114.407708634103
207332.157348596,-114.503551856511
212977.308006728,-114.64864235082
218776.162394955,-114.862675664355
224732.905492222,-114.904856933684
230851.836224276,-115.124942530958
237137.370566166,-115.440858983024
243594.044729203,-115.723820589483
250226.518434708,-115.860640641539
257039.578276886,-115.930221391922
