Trace
Log Plot
A.14.05,N9000A
593.380586275328,-109.253817113785
609.536897240169,-109.48684058886
626.133105279552,-109.552588273306
643.181187721509,-109.728827284091
660.693448007596,-109.70283525095
678.682524572179,-109.638424929711
697.161399963467,-109.793708472321
716.143410212902,-110.011751009602
735.642254459641,-110.080457893221
755.672004837103,-109.871178052586
776.247116628692,-109.886368589823
797.38243870004,-110.262396112891
819.093224215297,-110.438320413862
841.395141645195,-110.593180951752
864.304286074836,-110.808196457555
887.837190819365,-110.728109555271
912.01083935591,-110.856940389667
936.842677580396,-110.92591350246
962.350626398088,-111.026259976977
988.553094656938,-111.09944882955
1015.46899243308,-111.072813312536
1043.11774467805,-111.112408479369
1071.51930523761,-111.295124162807
1100.69417125221,-111.363225988208
1130.66339794964,-111.375225867981
1161.44861384034,-111.491840047329
1193.07203632653,-111.46859918993
1225.55648773628,-111.452419198347
1258.92541179417,-111.606777178987
1293.20289054041,-111.554231708064
1328.41366171065,-111.402503256348
1364.58313658892,-111.542922110827
1401.73741834677,-111.828429308169
1439.90332088163,-111.984567643527
1479.10838816821,-111.757629727281
1519.38091413666,-111.586022547741
1560.74996309211,-111.57250071332
1603.24539069004,-111.63249550385
1646.89786548287,-111.499728367651
1691.73889105314,-111.498042716418
1737.80082874938,-111.453649396343
1785.11692104095,-111.601127979752
1833.72131550888,-111.821157663086
1883.6490894898,-111.758145427163
1934.93627539095,-111.647598697725
1987.61988669444,-111.386445859927
2041.73794466953,-111.359674828927
2097.3295058122,-111.203383215362
2154.43469003188,-111.010135772827
2213.09470960564,-111.022573389841
2273.35189892063,-111.213906901576
2335.24974502649,-111.27345056159
2398.83291901949,-111.293181129195
2464.14730828128,-111.493140833849
2531.24004959536,-111.448834391904
2600.15956316527,-111.325085706662
2670.95558755899,-111.268798085018
2743.67921560478,-111.277601275223
2818.38293126445,-111.376063091513
2895.1206475105,-111.504852103775
2973.94774523461,-111.377519234726
3054.92111321551,-111.522412166562
3138.09918917513,-111.535511398794
3223.54200195246,-111.535352095845
3311.31121482591,-111.562743429549
3401.47017001504,-111.524940426103
3494.08393439407,-111.6638206748
3589.21934645005,-111.850412812634
3686.94506451957,-111.97634742841
3787.33161633883,-112.038435608011
3890.45144994281,-112.142390969539
3996.37898595041,-112.306708446367
4105.19067127308,-112.388822925436
4216.96503428582,-112.368419349324
4331.78274150041,-112.378946877065
4449.72665578166,-112.337864060362
4570.88189614875,-112.16774692646
4695.33589920485,-112.223512863281
4823.17848223931,-112.221903160557
4954.5019080479,-112.24059500449
5089.40095151809,-112.329922484698
5227.97296802712,-112.34773357618
5370.31796370253,-112.200384667673
5516.53866759558,-112.161924248889
5666.74060581991,-112.138979580793
5821.03217770872,-112.18330250269
5979.52473404552,-112.201199710267
6142.33265742502,-112.065295480758
6309.57344480193,-112.133858019731
6481.36779228742,-112.243197108921
6657.83968225436,-112.08801622075
6839.1164728143,-112.023858709604
7025.32898973052,-111.994054351814
7216.61162083388,-112.03535996518
7413.10241300917,-112.0573079366
7614.94317182231,-112.013833452512
7822.27956386003,-112.123177013625
8035.26122185617,-112.20266765699
8254.04185268019,-112.266788210143
8478.77934826592,-112.301920273149
8709.6358995608,-112.24852825596
8946.77811357749,-112.331488330678
9190.3771336326,-112.422793605123
9440.60876285923,-112.374077302688
9697.6535910825,-112.39608517304
9961.69712514941,-112.486225021489
10232.9299228075,-112.614286870626
10511.5477302287,-112.631756183326
10797.7516232771,-112.49481864388
11091.748152624,-112.416057079417
11393.7494928134,-112.475655799139
11703.9735953862,-112.534360353836
12022.6443461741,-112.357091994668
12349.9917268758,-112.437952356447
12686.2519810326,-112.393200011916
13031.667784523,-112.394273562862
13386.4884206999,-112.416654940101
13750.969960296,-112.381445663792
14125.3754462275,-112.451576744344
14509.9750834299,-112.392034132632
14905.046433862,-112.269373937855
15310.8746168203,-112.31978407445
15727.7525147067,-112.467283084583
16155.9809843987,-112.606391615146
16595.8690743756,-112.647202252288
17047.7342477552,-112.598761622206
17511.9026114046,-112.806869533875
17988.7091512879,-113.117692212226
18478.4979742229,-113.236011351385
18981.6225562196,-113.287214749814
19498.4459975804,-113.516063668427
20029.3412849465,-113.579155199314
20574.6915604784,-113.557780200621
21134.8903983665,-113.711498262466
21710.3420888696,-113.609686490472
22301.4619300874,-113.785683008398
22908.6765276777,-113.765960104929
23532.424102733,-113.781673292022
24173.154808041,-113.736897203156
24831.3310529557,-113.677276160153
25507.4278371136,-113.742230311617
26201.9330932367,-113.69582103432
26915.3480392692,-113.703463002928
27648.1875401011,-113.728132792469
28400.9804791422,-113.675937527726
29174.2701400117,-113.455025663517
29968.6145986212,-113.391721009095
30784.587125933,-113.293637032769
31622.7766016838,-113.245056857294
32483.7879393743,-113.152458153906
33368.2425228294,-112.868397886619
34276.778654645,-112.831029976862
35210.0520168452,-112.689479725565
36168.7361440816,-112.547710050488
37153.5229097173,-112.598394410274
38165.1230251451,-112.726504523168
39204.2665527015,-112.730986229509
40271.7034325459,-112.826947586969
41368.2040238851,-112.717585500451
42494.5596609344,-112.744463463142
43651.5832240166,-112.718298625515
44840.1097262092,-112.777831893779
46060.9969159666,-112.782438591472
47315.1258961481,-112.734012920463
48603.4017599021,-112.680905777699
49926.7542438638,-112.627732835743
51286.1383991365,-112.715212721787
52682.5352805435,-112.805707838048
54116.9526546464,-112.968929386452
55590.4257270404,-112.984695717112
57104.0178894527,-113.080021008944
58658.8214871824,-113.161917799383
60255.9586074358,-113.066940364678
61896.581889126,-113.019427412907
63581.8753547223,-112.818754593078
65313.0552647473,-112.711610757086
67091.3709955411,-112.615372453938
68918.105940925,-112.638534656796
70794.5784384139,-112.599485527554
72722.1427206485,-112.458973664431
74702.1898927332,-112.474711162228
76736.148936182,-112.373011444265
78825.4877402021,-112.254879227904
80971.7141610562,-112.226842280156
83176.3771102672,-112.04850462004
85441.0676724535,-111.980665066388
87767.4202536006,-112.19315771475
90157.1137605956,-112.299242785264
92611.8728128793,-112.157766649832
95133.4689870874,-112.138784078809
97723.722095581,-112.121260846622
100384.501499788,-112.051748287528
103117.727459306,-112.039624626628
105925.372517729,-112.136100691485
108809.462926223,-112.289419351602
111772.080105845,-112.296433696695
114815.362149688,-112.263708371633
117941.505365925,-112.49523339632
121152.765862859,-112.876558858609
124451.461177138,-113.025390678275
127839.971946302,-113.17923606516
131320.743626862,-113.44780035615
134896.288259165,-113.581140214639
138569.186280313,-113.630077716299
142342.088386434,-113.974598287992
146217.717445672,-114.308879211332
150198.870463249,-114.522256957493
154288.420600041,-114.916675881382
158489.319246111,-115.270675342546
162804.5981507,-115.309609572994
167237.371610208,-115.525308004589
171790.838715759,-116.042984612963
176468.28566195,-116.452406801486
181273.08811847,-116.645107970954
186208.713666287,-116.9894394759
191278.72430017,-117.266538209723
196486.778999347,-117.458134821919
201836.636368156,-117.69764203048
207332.157348596,-117.965473803032
212977.308006728,-118.318822212111
218776.162394955,-118.629154894984
224732.905492222,-118.748204399286
230851.836224276,-119.038380552565
237137.370566166,-119.236768940831
243594.044729203,-119.317710881426
250226.518434708,-119.481966071241
257039.578276886,-119.747491797423
264038.141177268,-119.992882389189
271227.257933203,-120.231484166761
278612.116862977,-120.578371166889
286198.047550171,-120.809947114684
293990.524689969,-121.037653531701
301995.172040202,-121.259586565497
310217.76647995,-121.462933197487
318664.242178673,-121.537638513157
327340.694878838,-121.58168257774
336253.386295162,-121.841621657866
345408.748633635,-122.02915193851
354813.389233576,-122.192614679741
364474.095336095,-122.280102568978
374397.838982381,-122.531136415877
384591.782045354,-122.80912457539
395063.281398323,-122.982431677752
405819.89422438,-123.039539030437
416869.383470336,-123.236681587447
428219.723449175,-123.305865196114
439879.105595043,-123.490981881154
451855.944374923,-123.737754209385
464158.883361278,-123.964730693018
476796.801470042,-124.097949948428
489778.819368446,-123.961832388879
503114.306057317,-123.99803232259
516812.885632603,-124.108987362147
530884.444230989,-124.171567455672
545339.137164627,-124.188394572021
560187.396250141,-124.287580567157
575439.937337157,-124.098143611726
591107.768041841,-124.213230709515
607202.195690989,-124.285000225517
623734.83548242,-124.329754979472
640717.618867554,-124.342720891162
658162.802162232,-124.301968904378
676082.975391981,-124.483428465498
694491.071378121,-124.433679067235
713400.375071256,-124.450171826539
732824.533138904,-124.525994342214
752777.563814166,-124.590614951519
773273.867012556,-124.562155911151
794328.234724281,-124.628302094387
815955.861689489,-124.646937369982
838172.356364163,-124.711950067774
860993.7521846,-124.837698364748
884436.5191386,-125.033890922258
908517.575651687,-124.979724337768
933254.300796991,-125.041071927962
958664.546837558,-125.399148088758
984766.652110159,-125.624176899251
1011579.4542599,-122.238729710768
1039122.30383517,-122.336050518111
1067415.07825276,-122.497800534723
1096478.19614318,-122.533528290766
1126332.63208666,-122.527690288141
1156999.93175021,-122.493095094387
1188502.22743702,-122.428560736676
1220862.25405907,-122.309597062373
1254103.36554475,-122.201686522929
1288249.55169313,-122.01229492935
1323325.45548722,-121.815081598866
1359356.39087852,-121.592772611127
1396368.36105594,-121.549273521962
1434388.07721197,-121.603781284286
1473442.97781996,-121.790439504427
1513561.24843621,-121.820436084339
1554771.84204117,-121.946946537346
1597104.4999346,-121.817674644668
1640589.77319954,-121.811476086831
1685259.04475075,-121.752600018287
1731144.55198349,-121.824397627741
1778279.41003892,-121.835966922592
1826697.635703,-121.798446474693
1876434.17195608,-121.698539357966
1927524.91319094,-121.771584488398
1980006.73111739,-121.846322692438
2033917.50137229,-121.982147788979
2089296.13085404,-121.955060477608
2146182.58580128,-121.957460909334
2204617.92063618,-122.024141310674
2264644.30759306,-122.198472838421
2326305.06715363,-122.276779785957
2389644.69931102,-122.463244355493
2454708.91568503,-122.662637496378
2521544.67251172,-122.796457908073
2590200.20453132,-122.800398188873
2660725.05979881,-122.759416777383
2733170.13544223,-122.732008807652
2807587.71439473,-122.760883044016
2884031.50312661,-122.677004395896
2962556.67040481,-122.711530961563
3043219.88710772,-122.573378057863
3126079.36712396,-122.56827151749
3211194.90936482,-122.464267235728
3298627.94092063,-122.454625389226
3388441.56139203,-122.597746259116
3480700.58842841,-122.668331423108
3575471.60450621,-122.562465739994
3672823.00498085,-122.570557395476
3772825.04744699,-122.472716217618
3875549.90244286,-122.644179587859
3981071.70553498,-122.693033833728
4089466.61082112,-122.689126698168
4200812.84589007,-122.56650815429
4315190.76827766,-122.474645055757
4432682.92346009,-122.554179045229
4553374.10442625,-122.519346912404
4677351.41287199,-122.454924618238
4804704.32206058,-122.53147291673
4935524.74139481,-122.58130556816
5069907.08274704,-122.572977492834
5207948.32859546,-122.552073809756
5349748.10201537,-122.529327560008
5495408.73857624,-122.525672349287
5645035.36019636,-122.645012411144
5798735.95100831,-122.61697145427
5956621.4352901,-122.620893291537
6118805.75751822,-122.55756156652
6285405.96460025,-122.530543920499
6456542.29034655,-122.535022706653
6632338.2422419,-122.566105751487
6812920.69057962,-122.561419413611
6998419.96002273,-122.565397058874
7188969.92365807,-122.42591975874
7384708.09961117,-122.324051291416
7585775.75029183,-122.36621366943
7792317.98434194,-122.454607504319
8004483.86135892,-122.447643561142
8222426.49947071,-122.261794450457
8446303.18583969,-122.025740212927
8676275.49017531,-122.089724906218
8912509.38133745,-122.011471857516
9155175.34711467,-121.901823677311
9404448.51726353,-121.859303429602
9660508.78989813,-121.709540640338
9923540.96132101,-121.59477189061
10193734.8593887,-121.526180515898
10471285.480509,-121.531048943601
10756393.1303677,-121.473217506433
11049263.5684876,-121.404375340231
