Trace
Log Plot
A.14.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,View,View,Smoothed,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
Trace Name,Trace3
DATA,
10,-54.191037887102
10.272275691833,-54.6869734676226
10.5519647889024,-55.0525074029165
10.839269140212,-55.3638734408378
11.1343960906236,-55.8173775115089
11.4375586304954,-56.3142949458174
11.7489755493953,-56.7213061877752
12.0688715939994,-57.0719986623243
12.3974776302894,-57.5094661308813
12.7350308101666,-57.9163809738608
13.0817747426019,-58.2413477209621
13.4379596694465,-58.4074007168735
13.8038426460288,-58.5645764097503
14.179687726669,-58.9244581136076
14.5657661552446,-59.1661143083123
14.9623565609443,-59.6477400061272
15.3697451593527,-59.9738581565788
15.7882259590087,-60.214199338305
16.2181009735893,-60.2900833269394
16.6596804398695,-60.5165926886696
17.1132830416178,-60.8439406294025
17.5792361395869,-61.066959247608
18.0578760077672,-61.4577959957528
18.5495480760722,-61.6285920603836
19.0546071796325,-61.8922184821473
19.5734178148766,-62.1993389050849
20.1063544025849,-62.2352504816241
20.6538015581053,-62.3497194219687
21.2161543689268,-62.5616296664413
21.7938186798105,-62.9782986399394
22.3872113856834,-63.2705832647428
22.9967607325083,-63.5016301271234
23.6229066263446,-63.7051716085663
24.2661009508242,-64.1026597036854
24.9268078932718,-64.5180455236548
25.6055042797048,-65.2114368233769
26.3026799189538,-65.506467852797
27.0188379561534,-65.8100540753999
27.7544952358571,-66.049900238954
28.5101826750391,-66.4325417936036
29.2864456462524,-66.8041111110369
30.0838443712188,-67.1030238867135
30.9029543251359,-67.4917845066959
31.744366651992,-67.8681712106115
32.6086885911893,-68.5470345069195
33.4965439157828,-68.7889632809711
34.4085733826513,-69.0924833077182
35.3454351949263,-69.5098032629139
36.3078054770101,-69.8729082018143
37.2963787625294,-70.1647409478494
38.3118684955729,-70.5634649457318
39.3550075455777,-71.0614675933462
40.4265487362344,-71.2927563082391
41.5272653887925,-71.7691330065537
42.6579518801593,-71.9110505742256
43.8194242161944,-72.1554039239365
45.0125206206134,-72.5658352511309
46.238102139926,-72.8255406788559
47.4970532648456,-73.1428891119685
48.7902825686172,-73.566504967904
50.1187233627272,-74.0482369624485
51.4833343704648,-74.6482039094148
52.8851004188238,-75.0552156716116
54.3250331492433,-75.549898183343
55.8041717476997,-76.1068375391095
57.3235836946771,-76.5690723338127
58.8843655355589,-76.8892566363787
60.4876436719933,-77.0989327951249
62.1345751748076,-77.6986388484817
63.8263486190549,-78.1750544046362
65.5641849417979,-78.6710015977673
67.3493383232477,-79.1768291866007
69.1830970918936,-79.9128547414211
71.0667846542785,-80.4846950207591
73.0017604500878,-80.7602205845
74.9894209332456,-81.2901250835449
77.0312005797215,-81.644730922107
79.1285729227788,-82.2877225188188
81.2830516164099,-82.8038708759377
83.4961915277258,-83.0711914418811
85.7695898590894,-83.7224557598959
88.1048873008014,-84.0436359376609
90.5037692151712,-84.4960635282654
92.9679668528271,-84.8778963587181
95.4992586021436,-85.2485223074972
98.0994712726877,-85.5686665893043
100.77048141361,-85.7940025330683
103.514216667934,-86.1810859074678
106.332657163716,-86.7178488296456
109.227836943086,-87.2833152693087
112.201845430196,-87.7684583402623
115.256828939141,-88.1874456242877
118.39499222293,-88.6180435865511
121.618600064637,-88.8470512112651
124.929978911873,-89.0671143238297
128.331518555765,-89.2906777831138
131.825673855641,-89.5456344689159
135.414966510681,-90.2949882835422
139.101986879805,-90.726658063991
142.88939585111,-90.9811189535157
146.779926762207,-91.1042369107278
150.776387372845,-91.460778966059
154.881661891248,-92.0366999474172
159.098713055617,-92.3702859463743
163.430584272314,-92.7568765998877
167.880401812256,-93.0476126936234
172.45137706712,-93.4399893211347
177.146808866971,-93.8663514877853
181.970085860998,-94.2252927618202
186.924688963071,-94.6126515438346
192.01419386388,-94.8113695053412
197.242273611485,-94.9530252454576
202.612701262114,-95.081936395894
208.129352603145,-95.2252605489159
213.796208950223,-95.4127191872085
219.617360020544,-95.6245452903695
225.597006884358,-95.8158674624912
231.739464996848,-96.2209475499921
238.049167312551,-96.5912695785763
244.530667484582,-96.8546425353912
251.188643150958,-96.8645542900463
258.027899310411,-97.1883682268341
265.053371790108,-97.6236354579338
272.270130807791,-98.0752713488256
