mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
18.000	3.580	18.000	3514341428.345	1566.567	369.408	1935.975	0.191	0.321	-0.432	-0.159	-0.080
19.000	3.127	19.000	3514341429.845	1290.754	833.438	2124.192	0.392	0.321	-0.432	-0.159	-0.080
36.000	-0.194	36.000	3514341455.344	1748.385	415.584	2163.969	0.192	0.064	1.119	1.104	-0.863
37.000	-1.386	37.000	3514341456.844	1410.989	632.849	2043.837	0.310	0.064	1.119	1.104	-0.863
38.000	-1.386	38.000	3514341458.345	1438.384	667.974	2106.358	0.317	0.064	1.119	1.104	-0.258
39.000	-1.054	39.000	3514341459.845	1235.964	699.449	1935.413	0.361	0.064	1.119	1.104	-0.258
40.000	-1.054	40.000	3514341461.344	1503.652	443.902	1947.554	0.228	1.601	1.119	1.104	-0.258
41.000	0.530	41.000	3514341462.845	1436.075	597.625	2033.700	0.294	1.601	1.119	1.104	-0.258
42.000	0.530	42.000	3514341464.346	1632.723	316.030	1948.752	0.162	1.601	-1.284	1.104	-0.258
43.000	-0.918	43.000	3514341465.845	1629.126	422.590	2051.716	0.206	1.601	-1.284	1.104	-0.258
44.000	-0.918	44.000	3514341467.344	1491.664	689.582	2181.246	0.316	1.601	-1.284	0.066	-0.258
45.000	-1.078	45.000	3514341468.846	1483.894	666.790	2150.684	0.310	1.601	-1.284	0.066	-0.258
46.000	-1.078	46.000	3514341470.344	1985.170	271.531	2256.701	0.120	1.601	-1.284	0.066	-1.175
47.000	0.233	47.000	3514341471.845	1486.824	563.387	2050.212	0.275	1.601	-1.284	0.066	-1.175
48.000	0.233	48.000	3514341473.345	1489.888	606.208	2096.096	0.289	-1.159	-1.284	0.066	-1.175
49.000	-1.003	49.000	3514341474.845	1563.059	470.246	2033.305	0.231	-1.159	-1.284	0.066	-1.175
50.000	-1.003	50.000	3514341476.345	1418.315	794.563	2212.878	0.359	-1.159	0.970	0.066	-1.175
51.000	-0.156	51.000	3514341477.844	1732.268	462.254	2194.521	0.211	-1.159	0.970	0.066	-1.175
52.000	-0.156	52.000	3514341479.345	1700.788	561.611	2262.399	0.248	-1.159	0.970	-1.669	-1.175
53.000	1.497	53.000	3514341480.846	1810.989	404.534	2215.523	0.183	-1.159	0.970	-1.669	-1.175
54.000	1.497	54.000	3514341482.345	1153.113	761.115	1914.229	0.398	-1.159	0.970	-1.669	0.127
55.000	1.507	55.000	3514341483.845	1854.234	233.051	2087.285	0.112	-1.159	0.970	-1.669	0.127
56.000	1.507	56.000	3514341485.345	1144.544	684.649	1829.193	0.374	1.125	0.970	-1.669	0.127
57.000	2.608	57.000	3514341486.845	1611.322	304.584	1915.906	0.159	1.125	0.970	-1.669	0.127
58.000	2.608	58.000	3514341488.344	1610.700	422.195	2032.896	0.208	1.125	0.331	-1.669	0.127
59.000	2.826	59.000	3514341489.845	1742.435	417.459	2159.894	0.193	1.125	0.331	-1.669	0.127
60.000	2.826	60.000	3514341491.344	1574.958	526.190	2101.148	0.250	1.125	0.331	1.892	0.127
61.000	0.822	61.000	3514341492.845	1913.953	357.568	2271.521	0.157	1.125	0.331	1.892	0.127
62.000	0.822	62.000	3514341494.345	1735.731	410.158	2145.888	0.191	1.125	0.331	1.892	2.311
63.000	-1.460	63.000	3514341495.846	1277.611	593.481	1871.092	0.317	1.125	0.331	1.892	2.311
64.000	-1.460	64.000	3514341497.346	1713.353	387.267	2100.620	0.184	0.429	0.331	1.892	2.311
65.000	-1.036	65.000	3514341498.846	1458.453	745.427	2203.880	0.338	0.429	0.331	1.892	2.311
66.000	-1.036	66.000	3514341500.344	1831.946	271.038	2102.983	0.129	0.429	0.503	1.892	2.311
67.000	-0.626	67.000	3514341501.846	1677.478	482.875	2160.353	0.224	0.429	0.503	1.892	2.311
68.000	-0.626	68.000	3514341503.346	1550.938	500.438	2051.376	0.244	0.429	0.503	0.297	2.311
69.000	-1.055	69.000	3514341504.845	1770.674	539.707	2310.381	0.234	0.429	0.503	0.297	2.311
70.000	-1.055	70.000	3514341506.346	1375.824	750.361	2126.185	0.353	0.429	0.503	0.297	-1.169
71.000	0.202	71.000	3514341507.845	1873.060	439.955	2313.015	0.190	0.429	0.503	0.297	-1.169
72.000	0.202	72.000	3514341509.344	1517.904	436.008	1953.912	0.223	-1.842	0.503	0.297	-1.169
73.000	-1.736	73.000	3514341510.845	2048.041	48.347	2096.387	0.023	-1.842	0.503	0.297	-1.169
74.000	-1.736	74.000	3514341512.345	1133.888	775.422	1909.310	0.406	-1.842	0.180	0.297	-1.169
75.000	-1.645	75.000	3514341513.846	1734.133	552.830	2286.962	0.242	-1.842	0.180	0.297	-1.169
76.000	-1.645	76.000	3514341515.346	1313.486	910.694	2224.181	0.409	-1.842	0.180	1.050	-1.169
77.000	-2.886	77.000	3514341516.846	1364.724	927.961	2292.685	0.405	-1.842	0.180	1.050	-1.169
78.000	-2.886	78.000	3514341518.346	1676.412	662.646	2339.058	0.283	-1.842	0.180	1.050	0.290
79.000	-3.098	79.000	3514341519.846	2062.560	230.387	2292.947	0.100	-1.842	0.180	1.050	0.290
80.000	-3.098	80.000	3514341521.345	1273.793	817.849	2091.642	0.391	3.371	0.180	1.050	0.290
81.000	0.341	81.000	3514341522.845	1476.967	602.361	2079.328	0.290	3.371	0.180	1.050	0.290
82.000	0.341	82.000	3514341524.345	1794.339	306.755	2101.094	0.146	3.371	1.476	1.050	0.290
83.000	1.797	83.000	3514341525.845	1559.108	689.089	2248.196	0.307	3.371	1.476	1.050	0.290
84.000	1.797	84.000	3514341527.345	1815.118	584.601	2399.719	0.244	3.371	1.476	-1.069	0.290
85.000	2.719	85.000	3514341528.845	1553.691	804.430	2358.121	0.341	3.371	1.476	-1.069	0.290
86.000	2.719	86.000	3514341530.345	1590.765	850.606	2441.371	0.348	3.371	1.476	-1.069	2.557
87.000	0.116	87.000	3514341531.846	1399.800	594.862	1994.662	0.298	3.371	1.476	-1.069	2.557
88.000	0.116	88.000	3514341533.344	1998.934	295.902	2294.836	0.129	-1.264	1.476	-1.069	2.557
89.000	-1.140	89.000	3514341534.846	1746.831	455.742	2202.573	0.207	-1.264	1.476	-1.069	2.557
90.000	-1.140	90.000	3514341536.346	1620.868	612.721	2233.588	0.274	-1.264	-0.553	-1.069	2.557
91.000	-1.742	91.000	3514341537.845	1836.918	305.176	2142.095	0.142	-1.264	-0.553	-1.069	2.557
92.000	-1.742	92.000	3514341539.347	1537.485	1008.374	2545.859	0.396	-1.264	-0.553	0.064	2.557
93.000	-1.964	93.000	3514341540.845	1736.530	531.321	2267.851	0.234	-1.264	-0.553	0.064	2.557
94.000	-1.964	94.000	3514341542.345	1337.462	642.321	1979.783	0.324	-1.264	-0.553	0.064	-1.490
95.000	-0.448	95.000	3514341543.845	1743.856	283.075	2026.931	0.140	-1.264	-0.553	0.064	-1.490
96.000	-0.448	96.000	3514341545.345	1802.065	378.486	2180.550	0.174	0.593	-0.553	0.064	-1.490
97.000	0.183	97.000	3514341546.846	1535.886	594.073	2129.959	0.279	0.593	-0.553	0.064	-1.490
98.000	0.183	98.000	3514341548.346	1337.685	416.966	1754.650	0.238	0.593	2.232	0.064	-1.490
99.000	2.476	99.000	3514341549.846	1141.525	713.854	1855.379	0.385	0.593	2.232	0.064	-1.490
