mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
142.000	-2.658	142.000	3514346212.899	899.234	976.505	1875.739	0.521	-1.440	-1.434	-0.369	-1.155
143.000	0.110	143.000	3514346214.399	1006.283	674.091	1680.374	0.401	-1.440	-1.434	-0.369	-1.155
144.000	0.110	144.000	3514346215.898	1788.301	218.350	2006.650	0.109	1.004	-1.434	-0.369	-1.155
145.000	-0.722	145.000	3514346217.399	1767.477	277.648	2045.125	0.136	1.004	-1.434	-0.369	-1.155
154.000	-1.088	154.000	3514346230.897	1911.910	211.443	2123.353	0.100	0.656	1.426	3.223	-2.573
155.000	-1.664	155.000	3514346232.399	1996.803	199.504	2196.307	0.091	0.656	1.426	3.223	-2.573
156.000	-1.664	156.000	3514346233.900	1748.740	358.851	2107.591	0.170	0.656	1.426	-3.934	-2.573
157.000	4.227	157.000	3514346235.399	1634.410	316.326	1950.736	0.162	0.656	1.426	-3.934	-2.573
158.000	4.227	158.000	3514346236.899	2048.041	312.182	2360.222	0.132	0.656	1.426	-3.934	1.631
159.000	4.428	159.000	3514346238.399	870.285	734.377	1604.662	0.458	0.656	1.426	-3.934	1.631
160.000	4.428	160.000	3514346239.899	1518.392	681.886	2200.278	0.310	-0.343	1.426	-3.934	1.631
161.000	2.078	161.000	3514346241.399	1735.820	204.043	1939.863	0.105	-0.343	1.426	-3.934	1.631
162.000	2.078	162.000	3514346242.899	1789.632	93.437	1883.070	0.050	-0.343	0.699	-3.934	1.631
163.000	0.709	163.000	3514346244.399	2137.374	274.984	2412.358	0.114	-0.343	0.699	-3.934	1.631
164.000	0.709	164.000	3514346245.898	2080.808	303.894	2384.702	0.127	-0.343	0.699	-0.263	1.631
165.000	3.040	165.000	3514346247.398	1324.276	928.750	2253.026	0.412	-0.343	0.699	-0.263	1.631
166.000	3.040	166.000	3514346248.899	2262.227	149.973	2412.200	0.062	-0.343	0.699	-0.263	-1.300
167.000	6.329	167.000	3514346250.398	1551.248	229.992	1781.241	0.129	-0.343	0.699	-0.263	-1.300
176.000	9.447	176.000	3514346263.898	1673.615	219.830	1893.445	0.116	0.955	0.118	-3.080	0.307
177.000	8.342	177.000	3514346265.399	1286.269	582.035	1868.304	0.312	0.955	0.118	-3.080	0.307
178.000	8.342	178.000	3514346266.898	1980.109	196.051	2176.159	0.090	0.955	-1.093	-3.080	0.307
179.000	4.922	179.000	3514346268.398	1697.902	635.019	2332.921	0.272	0.955	-1.093	-3.080	0.307
180.000	4.922	180.000	3514346269.899	2271.417	261.664	2533.082	0.103	0.955	-1.093	3.625	0.307
181.000	3.351	181.000	3514346271.399	1416.805	570.985	1987.790	0.287	0.955	-1.093	3.625	0.307
182.000	3.351	182.000	3514346272.899	1386.969	908.622	2295.591	0.396	0.955	-1.093	3.625	-0.061
183.000	5.591	183.000	3514346274.400	1987.657	-33.547	1954.110	-0.017	0.955	-1.093	3.625	-0.061
184.000	5.591	184.000	3514346275.899	1870.485	399.699	2270.184	0.176	-1.949	-1.093	3.625	-0.061
185.000	1.383	185.000	3514346277.399	1836.386	170.496	2006.882	0.085	-1.949	-1.093	3.625	-0.061
186.000	1.383	186.000	3514346278.899	1596.226	393.483	1989.709	0.198	-1.949	-1.486	3.625	-0.061
187.000	-2.622	187.000	3514346280.399	1545.743	640.051	2185.794	0.293	-1.949	-1.486	3.625	-0.061
188.000	-2.622	188.000	3514346281.899	1601.110	563.190	2164.300	0.260	-1.949	-1.486	0.955	-0.061
189.000	-1.556	189.000	3514346283.399	1376.845	967.230	2344.076	0.413	-1.949	-1.486	0.955	-0.061
198.000	-0.690	198.000	3514346296.899	1478.744	392.102	1870.845	0.210	0.993	-0.287	-0.827	0.309
199.000	1.234	199.000	3514346298.399	1734.443	171.680	1906.123	0.090	0.993	-0.287	-0.827	0.309
200.000	1.234	200.000	3514346299.898	1378.666	811.633	2190.299	0.371	-0.286	-0.287	-0.827	0.309
201.000	-1.506	201.000	3514346301.399	1762.593	259.296	2021.889	0.128	-0.286	-0.287	-0.827	0.309
202.000	-1.506	202.000	3514346302.899	1469.197	728.753	2197.950	0.332	-0.286	1.377	-0.827	0.309
203.000	-2.580	203.000	3514346304.400	2068.509	290.475	2358.984	0.123	-0.286	1.377	-0.827	0.309
204.000	-2.580	204.000	3514346305.900	1395.404	692.838	2088.242	0.332	-0.286	1.377	1.363	0.309
205.000	-1.853	205.000	3514346307.400	1645.510	518.000	2163.510	0.239	-0.286	1.377	1.363	0.309
206.000	-1.853	206.000	3514346308.900	1047.397	1036.593	2083.990	0.497	-0.286	1.377	1.363	2.468
207.000	-2.347	207.000	3514346310.400	1636.319	508.529	2144.848	0.237	-0.286	1.377	1.363	2.468
208.000	-2.347	208.000	3514346311.899	1610.567	617.654	2228.221	0.277	1.789	1.377	1.363	2.468
209.000	-2.927	209.000	3514346313.399	1877.367	201.971	2079.338	0.097	1.789	1.377	1.363	2.468
210.000	-2.927	210.000	3514346314.900	1765.035	333.494	2098.529	0.159	1.789	1.836	1.363	2.468
211.000	-3.379	211.000	3514346316.399	2169.564	104.093	2273.657	0.046	1.789	1.836	1.363	2.468
212.000	-3.379	212.000	3514346317.899	1486.647	576.707	2063.354	0.279	1.789	1.836	2.270	2.468
213.000	-3.797	213.000	3514346319.400	786.724	1086.617	1873.341	0.580	1.789	1.836	2.270	2.468
214.000	-3.797	214.000	3514346320.899	2127.828	15.589	2143.417	0.007	1.789	1.836	2.270	0.353
215.000	-2.015	215.000	3514346322.401	1736.042	615.779	2351.821	0.262	1.789	1.836	2.270	0.353
216.000	-2.015	216.000	3514346323.900	1089.488	731.219	1820.708	0.402	0.544	1.836	2.270	0.353
217.000	-3.755	217.000	3514346325.400	1547.253	407.296	1954.549	0.208	0.544	1.836	2.270	0.353
218.000	-3.755	218.000	3514346326.900	1811.655	498.267	2309.922	0.216	0.544	2.057	2.270	0.353
219.000	-3.791	219.000	3514346328.400	1662.870	593.185	2256.055	0.263	0.544	2.057	2.270	0.353
240.000	6.332	240.000	3514346359.900	1571.140	310.208	1881.348	0.165	-0.371	1.517	-1.214	0.128
