mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
204.000	5.905	204.000	3514348183.504	1268.865	933.881	2202.745	0.424	2.321	1.211	2.109	-0.520
205.000	3.797	205.000	3514348185.004	2118.193	-66.205	2051.987	-0.032	2.321	1.211	2.109	-0.520
220.000	-0.311	220.000	3514348207.504	1362.060	809.758	2171.818	0.373	3.929	2.279	0.370	3.106
221.000	-0.699	221.000	3514348208.997	1900.189	183.323	2083.511	0.088	3.929	2.279	0.370	3.106
222.000	-0.699	222.000	3514348210.505	826.773	1143.548	1970.321	0.580	3.929	2.279	0.370	0.389
223.000	-1.107	223.000	3514348211.997	1823.599	336.750	2160.348	0.156	3.929	2.279	0.370	0.389
224.000	-1.107	224.000	3514348213.503	881.252	925.001	1806.253	0.512	0.716	2.279	0.370	0.389
225.000	-0.149	225.000	3514348214.997	2062.427	100.443	2162.869	0.046	0.716	2.279	0.370	0.389
226.000	-0.149	226.000	3514348216.503	1246.576	756.577	2003.152	0.378	0.716	2.066	0.370	0.389
227.000	2.140	227.000	3514348217.996	2023.976	383.320	2407.296	0.159	0.716	2.066	0.370	0.389
236.000	-0.370	236.000	3514348231.504	1490.598	736.153	2226.751	0.331	2.915	1.736	-1.866	3.135
237.000	1.341	237.000	3514348233.005	1975.402	249.627	2225.029	0.112	2.915	1.736	-1.866	3.135
238.000	1.341	238.000	3514348234.505	1062.804	1104.377	2167.181	0.510	2.915	1.736	-1.866	-0.542
239.000	1.724	239.000	3514348236.005	2008.569	269.755	2278.324	0.118	2.915	1.736	-1.866	-0.542
240.000	1.724	240.000	3514348237.504	1127.317	768.614	1895.931	0.405	-0.298	1.736	-1.866	-0.542
241.000	1.831	241.000	3514348238.996	1774.670	183.717	1958.387	0.094	-0.298	1.736	-1.866	-0.542
242.000	1.831	242.000	3514348240.503	1598.357	483.270	2081.627	0.232	-0.298	1.346	-1.866	-0.542
243.000	3.581	243.000	3514348242.004	1636.408	495.307	2131.715	0.232	-0.298	1.346	-1.866	-0.542
244.000	3.581	244.000	3514348243.504	1321.700	667.579	1989.280	0.336	-0.298	1.346	3.497	-0.542
245.000	-0.253	245.000	3514348245.005	1274.858	811.633	2086.491	0.389	-0.298	1.346	3.497	-0.542
246.000	-0.253	246.000	3514348246.504	1662.604	803.049	2465.653	0.326	-0.298	1.346	3.497	2.526
247.000	-3.072	247.000	3514348248.005	1612.920	250.416	1863.337	0.134	-0.298	1.346	3.497	2.526
248.000	-3.072	248.000	3514348249.505	1535.398	576.017	2111.414	0.273	1.217	1.346	3.497	2.526
249.000	-1.368	249.000	3514348251.004	1888.023	321.160	2209.183	0.145	1.217	1.346	3.497	2.526
250.000	-1.368	250.000	3514348252.504	1473.371	671.526	2144.897	0.313	1.217	0.908	3.497	2.526
251.000	0.010	251.000	3514348254.004	1941.170	404.336	2345.506	0.172	1.217	0.908	3.497	2.526
252.000	0.010	252.000	3514348255.505	1342.035	728.555	2070.591	0.352	1.217	0.908	-0.557	2.526
253.000	0.241	253.000	3514348257.005	2097.635	236.504	2334.140	0.101	1.217	0.908	-0.557	2.526
254.000	0.241	254.000	3514348258.504	986.391	940.097	1926.489	0.488	1.217	0.908	-0.557	1.218
255.000	-1.346	255.000	3514348260.004	2018.914	258.507	2277.421	0.114	1.217	0.908	-0.557	1.218
256.000	-1.346	256.000	3514348261.504	1058.275	874.878	1933.153	0.453	1.476	0.908	-0.557	1.218
257.000	0.714	257.000	3514348263.004	1748.562	283.371	2031.933	0.139	1.476	0.908	-0.557	1.218
258.000	0.714	258.000	3514348264.505	1497.169	571.379	2068.549	0.276	1.476	1.579	-0.557	1.218
259.000	2.866	259.000	3514348266.005	2029.038	240.254	2269.291	0.106	1.476	1.579	-0.557	1.218
260.000	2.866	260.000	3514348267.505	1348.829	750.163	2098.992	0.357	1.476	1.579	3.403	1.218
261.000	-1.049	261.000	3514348269.006	1626.773	585.587	2212.360	0.265	1.476	1.579	3.403	1.218
262.000	-1.049	262.000	3514348270.505	1514.130	580.457	2094.587	0.277	1.476	1.579	3.403	2.984
263.000	-4.569	263.000	3514348272.005	1122.211	784.105	1906.316	0.411	1.476	1.579	3.403	2.984
264.000	-4.569	264.000	3514348273.504	1182.817	867.182	2050.000	0.423	1.204	1.579	3.403	2.984
265.000	-2.692	265.000	3514348275.005	1893.129	255.350	2148.479	0.119	1.204	1.579	3.403	2.984
266.000	-2.692	266.000	3514348276.504	1454.723	422.984	1877.707	0.225	1.204	2.213	3.403	2.984
267.000	0.233	267.000	3514348278.004	1976.956	288.206	2265.162	0.127	1.204	2.213	3.403	2.984
268.000	0.233	268.000	3514348279.505	1522.477	704.974	2227.451	0.316	1.204	2.213	0.109	2.984
269.000	-0.420	269.000	3514348281.005	1653.546	479.718	2133.264	0.225	1.204	2.213	0.109	2.984
270.000	-0.420	270.000	3514348282.505	1306.027	613.016	1919.044	0.319	1.204	2.213	0.109	0.103
271.000	-1.092	271.000	3514348284.006	1538.639	641.334	2179.973	0.294	1.204	2.213	0.109	0.103
272.000	-1.092	272.000	3514348285.505	1474.659	670.638	2145.297	0.313	0.936	2.213	0.109	0.103
273.000	0.599	273.000	3514348287.006	1759.840	366.744	2126.584	0.172	0.936	2.213	0.109	0.103
274.000	0.599	274.000	3514348288.504	1255.988	634.625	1890.613	0.336	0.936	1.665	0.109	0.103
275.000	3.095	275.000	3514348290.005	1812.898	389.536	2202.435	0.177	0.936	1.665	0.109	0.103
276.000	3.095	276.000	3514348291.505	1620.202	582.726	2202.928	0.265	0.936	1.665	0.832	0.103
277.000	1.650	277.000	3514348293.004	1760.062	427.326	2187.388	0.195	0.936	1.665	0.832	0.103
278.000	1.650	278.000	3514348294.504	1064.402	1001.566	2065.969	0.485	0.936	1.665	0.832	0.162
279.000	0.883	279.000	3514348296.004	1775.158	256.435	2031.593	0.126	0.936	1.665	0.832	0.162
280.000	0.883	280.000	3514348297.505	941.547	1087.110	2028.658	0.536	1.436	1.665	0.832	0.162
281.000	3.183	281.000	3514348299.005	1886.247	301.427	2187.674	0.138	1.436	1.665	0.832	0.162
282.000	3.183	282.000	3514348300.505	1421.379	481.395	1902.774	0.253	1.436	0.771	0.832	0.162
283.000	4.865	283.000	3514348302.006	1734.354	607.294	2341.648	0.259	1.436	0.771	0.832	0.162
284.000	4.865	284.000	3514348303.504	1724.098	537.832	2261.931	0.238	1.436	0.771	2.547	0.162
285.000	1.548	285.000	3514348305.005	1905.028	354.510	2259.538	0.157	1.436	0.771	2.547	0.162
286.000	1.548	286.000	3514348306.505	1498.812	933.486	2432.298	0.384	1.436	0.771	2.547	3.605
287.000	-2.872	287.000	3514348308.006	1327.917	820.710	2148.627	0.382	1.436	0.771	2.547	3.605
288.000	-2.872	288.000	3514348309.505	1704.029	434.528	2138.558	0.203	1.014	0.771	2.547	3.605
289.000	-0.901	289.000	3514348311.005	1800.777	299.355	2100.132	0.143	1.014	0.771	2.547	3.605
290.000	-0.901	290.000	3514348312.505	1627.040	417.656	2044.696	0.204	1.014	-0.190	2.547	3.605
291.000	-0.144	291.000	3514348314.005	2105.228	47.952	2153.180	0.022	1.014	-0.190	2.547	3.605
292.000	-0.144	292.000	3514348315.505	1364.014	719.873	2083.887	0.345	1.014	-0.190	1.997	3.605
293.000	-3.050	293.000	3514348317.006	1397.536	809.857	2207.393	0.367	1.014	-0.190	1.997	3.605
294.000	-3.050	294.000	3514348318.506	1605.062	542.569	2147.630	0.253	1.014	-0.190	1.997	-1.573
295.000	-2.254	295.000	3514348320.006	2021.356	134.877	2156.234	0.063	1.014	-0.190	1.997	-1.573
296.000	-2.254	296.000	3514348321.504	915.040	1017.945	1932.986	0.527	0.543	-0.190	1.997	-1.573
297.000	-0.678	297.000	3514348323.006	1735.509	485.934	2221.443	0.219	0.543	-0.190	1.997	-1.573
298.000	-0.678	298.000	3514348324.504	1466.667	585.390	2052.057	0.285	0.543	2.844	1.997	-1.573
299.000	3.302	299.000	3514348326.004	1616.206	507.443	2123.649	0.239	0.543	2.844	1.997	-1.573
300.000	3.302	300.000	3514348327.505	1550.405	680.406	2230.811	0.305	0.543	2.844	-1.005	-1.573
301.000	3.403	301.000	3514348329.005	1774.226	446.763	2220.989	0.201	0.543	2.844	-1.005	-1.573
310.000	-2.096	310.000	3514348342.505	1537.796	624.067	2161.863	0.289	0.585	0.581	2.808	-1.100
311.000	-2.013	311.000	3514348344.005	1862.715	281.003	2143.718	0.131	0.585	0.581	2.808	-1.100
312.000	-2.013	312.000	3514348345.505	1230.947	1001.961	2232.907	0.449	1.904	0.581	2.808	-1.100
313.000	1.155	313.000	3514348347.004	1544.145	494.222	2038.366	0.242	1.904	0.581	2.808	-1.100
314.000	1.155	314.000	3514348348.505	1653.724	454.755	2108.479	0.216	1.904	0.242	2.808	-1.100
315.000	2.691	315.000	3514348350.006	1917.993	405.816	2323.809	0.175	1.904	0.242	2.808	-1.100
316.000	2.691	316.000	3514348351.506	1484.338	820.414	2304.752	0.356	1.904	0.242	0.721	-1.100
317.000	0.790	317.000	3514348353.006	1631.790	733.094	2364.884	0.310	1.904	0.242	0.721	-1.100
318.000	0.790	318.000	3514348354.506	1685.958	491.755	2177.713	0.226	1.904	0.242	0.721	2.795
319.000	-3.212	319.000	3514348356.006	1718.371	473.107	2191.478	0.216	1.904	0.242	0.721	2.795
320.000	-3.212	320.000	3514348357.505	1289.377	874.089	2163.466	0.404	-0.236	0.242	0.721	2.795
321.000	-2.132	321.000	3514348359.006	1685.958	447.454	2133.412	0.210	-0.236	0.242	0.721	2.795
322.000	-2.132	322.000	3514348360.504	1729.026	478.633	2207.659	0.217	-0.236	1.596	0.721	2.795
323.000	0.903	323.000	3514348362.004	2272.527	172.766	2445.293	0.071	-0.236	1.596	0.721	2.795
324.000	0.903	324.000	3514348363.505	1872.483	495.505	2367.988	0.209	-0.236	1.596	-0.741	2.795
325.000	0.442	325.000	3514348365.005	2186.347	56.733	2243.080	0.025	-0.236	1.596	-0.741	2.795
326.000	0.442	326.000	3514348366.505	866.511	1255.929	2122.440	0.592	-0.236	1.596	-0.741	1.656
327.000	-2.564	327.000	3514348368.007	1524.653	691.753	2216.406	0.312	-0.236	1.596	-0.741	1.656
328.000	-2.564	328.000	3514348369.505	1537.529	432.654	1970.183	0.220	0.062	1.596	-0.741	1.656
329.000	-1.117	329.000	3514348371.000	1938.462	99.851	2038.312	0.049	0.062	1.596	-0.741	1.656
330.000	-1.117	330.000	3514348372.506	1696.126	614.793	2310.918	0.266	0.062	1.220	-0.741	1.656
331.000	1.675	331.000	3514348374.006	1793.362	372.171	2165.533	0.172	0.062	1.220	-0.741	1.656
340.000	0.870	340.000	3514348387.506	1415.518	619.430	2034.948	0.304	1.910	1.089	-2.921	-0.814
341.000	2.350	341.000	3514348389.006	1877.234	236.406	2113.639	0.112	1.910	1.089	-2.921	-0.814
342.000	2.350	342.000	3514348390.506	1420.713	749.670	2170.383	0.345	1.910	1.089	-2.921	2.276
343.000	-1.486	343.000	3514348392.007	1633.034	544.443	2177.477	0.250	1.910	1.089	-2.921	2.276
344.000	-1.486	344.000	3514348393.505	1372.672	524.414	1897.085	0.276	0.396	1.089	-2.921	2.276
345.000	0.557	345.000	3514348395.006	1829.637	283.075	2112.712	0.134	0.396	1.089	-2.921	2.276
346.000	0.557	346.000	3514348396.506	1736.086	387.464	2123.550	0.182	0.396	1.771	-2.921	2.276
