mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
186.000	4.509	186.000	3514336981.686	2070.507	397.430	2467.937	0.161	0.597	-0.147	-0.668	0.114
187.000	4.362	187.000	3514336983.186	1077.234	1070.238	2147.472	0.498	0.597	-0.147	-0.668	0.114
188.000	4.362	188.000	3514336984.686	2143.146	255.448	2398.594	0.106	0.597	-0.147	1.705	0.114
189.000	2.657	189.000	3514336986.188	1157.021	1109.705	2266.726	0.490	0.597	-0.147	1.705	0.114
190.000	2.657	190.000	3514336987.688	2208.636	334.678	2543.313	0.132	0.597	-0.147	1.705	-0.253
191.000	2.910	191.000	3514336989.187	1626.862	473.896	2100.758	0.226	0.597	-0.147	1.705	-0.253
192.000	2.910	192.000	3514336990.687	1536.197	507.542	2043.739	0.248	-0.262	-0.147	1.705	-0.253
193.000	2.648	193.000	3514336992.185	1490.687	767.628	2258.315	0.340	-0.262	-0.147	1.705	-0.253
194.000	2.648	194.000	3514336993.687	2319.858	141.587	2461.444	0.058	-0.262	-3.448	1.705	-0.253
195.000	-0.801	195.000	3514336995.186	1809.169	608.873	2418.042	0.252	-0.262	-3.448	1.705	-0.253
196.000	-0.801	196.000	3514336996.687	1488.334	817.750	2306.084	0.355	-0.262	-3.448	-3.150	-0.253
197.000	2.349	197.000	3514336998.187	1746.165	646.366	2392.531	0.270	-0.262	-3.448	-3.150	-0.253
198.000	2.349	198.000	3514336999.687	2004.307	337.539	2341.846	0.144	-0.262	-3.448	-3.150	0.200
199.000	2.149	199.000	3514337001.187	1696.748	494.025	2190.772	0.226	-0.262	-3.448	-3.150	0.200
200.000	2.149	200.000	3514337002.687	2013.453	362.403	2375.856	0.153	-2.485	-3.448	-3.150	0.200
201.000	-0.336	201.000	3514337004.186	1601.421	446.368	2047.789	0.218	-2.485	-3.448	-3.150	0.200
202.000	-0.336	202.000	3514337005.688	1791.630	404.928	2196.559	0.184	-2.485	0.905	-3.150	0.200
203.000	0.569	203.000	3514337007.187	1617.138	903.590	2520.729	0.358	-2.485	0.905	-3.150	0.200
204.000	0.569	204.000	3514337008.688	2148.429	352.142	2500.571	0.141	-2.485	0.905	-1.109	0.200
205.000	1.678	205.000	3514337010.188	1809.879	641.729	2451.607	0.262	-2.485	0.905	-1.109	0.200
206.000	1.678	206.000	3514337011.687	1392.608	882.969	2275.576	0.388	-2.485	0.905	-1.109	-0.642
207.000	2.320	207.000	3514337013.187	1664.691	490.275	2154.966	0.228	-2.485	0.905	-1.109	-0.642
208.000	2.320	208.000	3514337014.686	2268.132	275.478	2543.609	0.108	-0.296	0.905	-1.109	-0.642
209.000	2.024	209.000	3514337016.186	1769.075	360.627	2129.702	0.169	-0.296	0.905	-1.109	-0.642
210.000	2.024	210.000	3514337017.686	1984.638	206.904	2191.542	0.094	-0.296	-1.915	-1.109	-0.642
