mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
106.000	1.220	106.000	3514344001.955	1749.273	234.926	1984.198	0.118	0.884	2.287	2.640	-0.311
107.000	3.507	107.000	3514344003.458	1569.408	434.331	2003.739	0.217	0.884	2.287	2.640	-0.311
108.000	3.507	108.000	3514344004.958	2177.023	87.517	2264.540	0.039	0.884	2.287	-2.057	-0.311
109.000	5.564	109.000	3514344006.458	1738.883	338.131	2077.014	0.163	0.884	2.287	-2.057	-0.311
110.000	5.564	110.000	3514344007.958	1119.813	947.892	2067.705	0.458	0.884	2.287	-2.057	1.580
111.000	3.984	111.000	3514344009.458	1170.962	847.350	2018.313	0.420	0.884	2.287	-2.057	1.580
112.000	3.984	112.000	3514344010.958	1740.215	341.584	2081.800	0.164	-0.491	2.287	-2.057	1.580
113.000	3.493	113.000	3514344012.458	1834.565	252.390	2086.955	0.121	-0.491	2.287	-2.057	1.580
114.000	3.493	114.000	3514344013.959	1539.483	454.064	1993.547	0.228	-0.491	-1.567	-2.057	1.580
115.000	1.848	115.000	3514344015.458	1397.181	599.401	1996.581	0.300	-0.491	-1.567	-2.057	1.580
116.000	1.848	116.000	3514344016.958	1975.491	252.982	2228.473	0.114	-0.491	-1.567	2.602	1.580
117.000	-0.884	117.000	3514344018.458	979.065	833.438	1812.503	0.460	-0.491	-1.567	2.602	1.580
118.000	-0.884	118.000	3514344019.959	1664.779	264.328	1929.108	0.137	-0.491	-1.567	2.602	-2.251
119.000	1.479	119.000	3514344021.458	1565.101	353.227	1918.328	0.184	-0.491	-1.567	2.602	-2.251
120.000	1.479	120.000	3514344022.958	1043.268	603.051	1646.319	0.366	0.940	-1.567	2.602	-2.251
121.000	2.466	121.000	3514344024.458	1375.069	485.342	1860.411	0.261	0.940	-1.567	2.602	-2.251
122.000	2.466	122.000	3514344025.958	1818.226	318.990	2137.216	0.149	0.940	-1.643	2.602	-2.251
123.000	0.659	123.000	3514344027.458	1532.911	326.094	1859.005	0.175	0.940	-1.643	2.602	-2.251
124.000	0.659	124.000	3514344028.958	1638.006	295.606	1933.612	0.153	0.940	-1.643	-2.841	-2.251
125.000	3.505	125.000	3514344030.458	1357.221	383.715	1740.936	0.220	0.940	-1.643	-2.841	-2.251
126.000	3.505	126.000	3514344031.959	1276.324	468.963	1745.287	0.269	0.940	-1.643	-2.841	1.603
127.000	1.940	127.000	3514344033.459	1296.215	455.939	1752.154	0.260	0.940	-1.643	-2.841	1.603
128.000	1.940	128.000	3514344034.959	1541.880	393.286	1935.166	0.203	-0.982	-1.643	-2.841	1.603
129.000	0.958	129.000	3514344036.458	1398.379	483.664	1882.044	0.257	-0.982	-1.643	-2.841	1.603
130.000	0.958	130.000	3514344037.958	1557.509	245.187	1802.696	0.136	-0.982	-0.198	-2.841	1.603
131.000	0.577	131.000	3514344039.458	1779.909	234.136	2014.045	0.116	-0.982	-0.198	-2.841	1.603
132.000	0.577	132.000	3514344040.958	1400.111	520.566	1920.676	0.271	-0.982	-0.198	0.425	1.603
133.000	0.136	133.000	3514344042.458	1637.918	247.950	1885.867	0.131	-0.982	-0.198	0.425	1.603
134.000	0.136	134.000	3514344043.958	1564.258	355.102	1919.359	0.185	-0.982	-0.198	0.425	-0.501
