3511327298.279	828.836	119.836	948.672	0.126
3511327299.779	713.878	52.853	766.731	0.069
3511327301.279	710.517	-19.953	690.564	-0.029
3511327302.779	670.344	42.487	712.831	0.060
3511327304.279	674.511	78.769	753.280	0.105
3511327305.780	617.652	75.076	692.728	0.108
3511327307.279	668.611	129.500	798.111	0.162
3511327308.780	598.746	138.131	736.877	0.187
3511327310.280	627.970	127.062	755.032	0.168
3511327311.779	504.393	205.124	709.517	0.289
3511327313.279	489.939	128.084	618.023	0.207
3511327314.779	490.079	220.911	710.990	0.311
3511327316.279	520.363	136.169	656.532	0.207
3511327317.779	479.510	212.500	692.010	0.307
3511327319.279	483.364	131.058	614.422	0.213
3511327320.779	498.205	218.158	716.363	0.305
3511327322.279	442.758	130.040	572.798	0.227
3511327323.780	549.413	215.573	764.986	0.282
3511327325.279	522.273	132.560	654.833	0.202
3511327326.779	561.603	121.331	682.934	0.178
3511327328.279	541.813	139.624	681.437	0.205
3511327329.779	554.501	85.991	640.492	0.134
3511327331.280	700.906	134.909	835.815	0.161
3511327332.780	944.996	103.513	1048.509	0.099
3511327334.280	951.496	25.760	977.256	0.026
3511327335.779	1022.529	82.847	1105.376	0.075
3511327337.279	980.650	30.311	1010.961	0.030
3511327338.779	978.747	77.122	1055.869	0.073
3511327340.280	969.697	-16.180	953.517	-0.017
3511327341.779	1097.658	24.969	1122.627	0.022
3511327343.280	979.238	-63.924	915.314	-0.070
3511327344.780	933.085	-42.958	890.127	-0.048
3511327346.279	1029.739	37.536	1067.275	0.035
3511327347.779	1058.077	51.433	1109.510	0.046
3511327349.279	1026.769	30.391	1057.160	0.029
3511327350.779	981.958	-13.831	968.127	-0.014
3511327352.280	1034.365	92.582	1126.947	0.082
3511327353.780	1024.223	31.096	1055.318	0.029
3511327355.280	948.993	-58.656	890.337	-0.066
3511327356.779	1078.013	101.691	1179.704	0.086
3511327358.281	1019.880	-26.773	993.107	-0.027
3511327359.780	1043.379	46.727	1090.106	0.043
3511327361.280	1075.077	19.084	1094.161	0.017
3511327362.780	1020.869	111.124	1131.993	0.098
3511327364.280	1067.799	21.916	1089.714	0.020
3511327365.780	1074.689	15.551	1090.240	0.014
