0.000	0.000	0.000	0.000	0.000
3511327875.160	0.000	0.000	0.000	NaN
3511327876.541	-6.006	-64.624	-70.630	0.915
3511327878.041	1375.033	70.604	1445.637	0.049
3511327879.541	1309.341	-32.673	1276.668	-0.026
3511327881.041	1414.507	-41.460	1373.047	-0.030
3511327882.542	1374.502	-8.720	1365.782	-0.006
3511327884.042	1261.809	19.484	1281.293	0.015
3511327885.543	1332.949	94.324	1427.273	0.066
3511327887.042	1387.546	60.789	1448.335	0.042
3511327888.542	1397.758	39.893	1437.651	0.028
3511327890.042	1300.573	12.722	1313.295	0.010
3511327891.541	1264.280	55.598	1319.878	0.042
3511327893.055	1353.335	-42.722	1310.613	-0.033
3511327894.555	1386.803	13.822	1400.625	0.010
3511327896.056	1477.940	108.922	1586.862	0.069
3511327897.557	1367.048	40.520	1407.568	0.029
3511327899.055	1332.697	-65.573	1267.124	-0.052
3511327900.557	1428.433	51.758	1480.191	0.035
3511327902.056	1374.119	76.969	1451.088	0.053
3511327903.557	1334.921	0.396	1335.317	0.000
3511327905.056	1405.601	102.087	1507.688	0.068
3511327906.556	1346.484	-62.911	1283.573	-0.049
3511327908.056	1388.921	12.729	1401.650	0.009
3511327909.557	1208.199	-31.571	1176.628	-0.027
3511327911.056	1400.159	3.224	1403.383	0.002
3511327912.556	1287.075	66.364	1353.439	0.049
3511327914.056	1332.520	20.411	1352.931	0.015
3511327915.555	1408.712	0.467	1409.179	0.000
3511327917.057	1306.620	49.793	1356.413	0.037
3511327918.557	1459.178	4.947	1464.125	0.003
3511327920.057	1363.406	-11.313	1352.093	-0.008
3511327921.557	1421.752	4.558	1426.310	0.003
3511327923.056	1473.699	118.042	1591.741	0.074
3511327924.556	1354.680	40.671	1395.351	0.029
3511327926.056	1320.610	35.573	1356.183	0.026
3511327927.556	1286.615	-58.664	1227.951	-0.048
3511327929.056	1364.253	1.807	1366.060	0.001
3511327930.556	1278.350	-51.433	1226.917	-0.042
3511327932.056	1284.317	-10.602	1273.715	-0.008
3511327933.556	1368.176	50.884	1419.060	0.036
3511327935.056	1496.457	51.911	1548.368	0.034
3511327936.556	1313.862	-17.431	1296.431	-0.013
3511327938.057	1447.264	18.769	1466.033	0.013
3511327939.557	1395.281	-57.169	1338.112	-0.043
3511327941.057	1342.909	31.727	1374.636	0.023
3511327942.557	1407.334	68.722	1476.056	0.047
3511327944.057	1250.072	-29.296	1220.776	-0.024
3511327945.557	1327.786	-44.529	1283.257	-0.035
3511327947.056	1386.374	-35.809	1350.565	-0.027
3511327948.556	1389.698	44.211	1433.909	0.031
3511327950.056	1351.038	-35.971	1315.067	-0.027
3511327951.556	1273.541	-43.573	1229.968	-0.035
3511327953.058	1408.855	13.831	1422.686	0.010
3511327954.557	1409.701	-40.122	1369.579	-0.029
3511327956.057	1408.997	135.469	1544.466	0.088
3511327957.557	1401.575	85.842	1487.417	0.058
3511327959.056	1349.023	-2.353	1346.670	-0.002
3511327960.556	1360.333	34.164	1394.497	0.024
3511327962.056	1284.565	38.400	1322.965	0.029
3511327963.556	1409.382	95.489	1504.871	0.063
3511327965.057	1281.807	41.864	1323.672	0.032
3511327966.557	1404.610	39.500	1444.110	0.027
3511327968.057	1344.498	92.667	1437.165	0.064
3511327969.562	1348.742	71.856	1420.598	0.051
3511327971.057	1355.913	81.982	1437.895	0.057
