Record Length,12288,,Source,CH3,CH4
Sample Interval, CH3:0.0000004000000 CH4:0.0000004000000,,Second,Volt,Volt
Vertical Units, CH3:V CH4:V,,-0.00245760016,0.00680,4.40000
Vertical Scale, CH3:0.01 CH4:10.00,,-0.00245720016,0.00680,4.40000
Vertical Offset, CH3:-0.03400 CH4:0.00,,-0.00245680016,0.00720,4.40000
Horizontal Units,s,,-0.00245640000,0.00720,4.40000
Horizontal Scale,0.0050000000,,-0.00245600000,0.00680,4.40000
Model Number,WaveAce2004,,-0.00245560000,0.00680,4.40000
Serial Number,LCRY2250C00554,,-0.00245520000,0.00720,4.40000
Software Version,5.01.02.07R1,,-0.00245480000,0.00680,4.40000
,,,-0.00245440000,0.00680,4.40000
,,,-0.00245400000,0.00680,4.40000
,,,-0.00245360000,0.00720,4.40000
,,,-0.00245320000,0.00680,4.40000
,,,-0.00245280000,0.00680,4.40000
,,,-0.00245240000,0.00680,4.40000
,,,-0.00245200000,0.00680,4.40000
,,,-0.00245160000,0.00680,4.40000
,,,-0.00245120000,0.00680,4.40000
,,,-0.00245080000,0.00720,4.40000
,,,-0.00245040000,0.00680,4.40000
,,,-0.00245000000,0.00680,4.00000
,,,-0.00244960000,0.00720,4.40000
,,,-0.00244920000,0.00680,4.00000
,,,-0.00244880000,0.00720,4.00000
,,,-0.00244840000,0.00720,4.40000
,,,-0.00244800000,0.00720,4.40000
,,,-0.00244760000,0.00720,4.40000
,,,-0.00244720000,0.00760,4.00000
,,,-0.00244680000,0.00880,4.40000
,,,-0.00244640000,0.00920,4.40000
,,,-0.00244600000,0.00800,4.40000
,,,-0.00244560000,0.00760,4.40000
,,,-0.00244520000,0.00720,4.40000
,,,-0.00244480000,0.00720,4.40000
,,,-0.00244440000,0.00720,4.40000
,,,-0.00244400000,0.00680,4.40000
,,,-0.00244360000,0.00680,4.40000
,,,-0.00244320000,0.00680,4.40000
,,,-0.00244280000,0.00680,4.00000
,,,-0.00244240000,0.00720,4.00000
,,,-0.00244200000,0.00680,4.40000
,,,-0.00244160000,0.00680,4.00000
,,,-0.00244120000,0.00680,4.40000
,,,-0.00244080000,0.00680,4.40000
,,,-0.00244040000,0.00720,4.00000
,,,-0.00244000000,0.00720,4.00000
,,,-0.00243960000,0.00680,4.00000
,,,-0.00243920000,0.00680,4.00000
,,,-0.00243880000,0.00680,4.40000
,,,-0.00243840000,0.00720,4.00000
,,,-0.00243800000,0.00680,4.40000
,,,-0.00243760000,0.00680,4.00000
,,,-0.00243720000,0.00680,4.00000
,,,-0.00243680000,0.00720,4.40000
,,,-0.00243640000,0.00720,4.00000
,,,-0.00243600000,0.00680,4.00000
,,,-0.00243559984,0.00680,4.00000
,,,-0.00243519984,0.00720,4.00000
,,,-0.00243479984,0.00680,4.40000
,,,-0.00243440016,0.00680,4.00000
,,,-0.00243400016,0.00720,4.00000
,,,-0.00243360016,0.00680,4.00000
,,,-0.00243320016,0.00680,4.40000
,,,-0.00243280016,0.00680,4.40000
,,,-0.00243240016,0.00720,4.00000
,,,-0.00243200016,0.00720,4.00000
,,,-0.00243160016,0.00680,4.00000
,,,-0.00243120016,0.00680,4.00000
,,,-0.00243080016,0.00680,4.00000
,,,-0.00243040016,0.00720,4.00000
,,,-0.00243000016,0.00680,4.00000
,,,-0.00242960016,0.00680,4.00000
,,,-0.00242920016,0.00680,4.00000
,,,-0.00242880016,0.00680,4.00000
,,,-0.00242840016,0.00680,4.00000
,,,-0.00242800016,0.00720,4.00000
,,,-0.00242760016,0.00680,4.00000
,,,-0.00242720016,0.00680,4.00000
,,,-0.00242680016,0.00680,4.00000
,,,-0.00242640016,0.00680,4.00000
,,,-0.00242600016,0.00680,4.40000
,,,-0.00242560000,0.00680,4.00000
,,,-0.00242520000,0.00680,4.00000
,,,-0.00242480000,0.00720,4.00000
,,,-0.00242440000,0.00680,4.00000
,,,-0.00242400000,0.00720,4.00000
,,,-0.00242360000,0.00720,4.00000
,,,-0.00242320000,0.00720,4.00000
,,,-0.00242280000,0.00760,4.00000
,,,-0.00242240000,0.00800,4.00000
,,,-0.00242200000,0.00800,4.00000
,,,-0.00242160000,0.00720,4.00000
,,,-0.00242120000,0.00680,4.00000
,,,-0.00242080000,0.00720,4.00000
,,,-0.00242040000,0.00680,4.00000
,,,-0.00242000000,0.00680,4.00000
,,,-0.00241960000,0.00680,4.00000
,,,-0.00241920000,0.00680,4.00000
,,,-0.00241880000,0.00680,4.00000
,,,-0.00241840000,0.00720,4.00000
,,,-0.00241800000,0.00680,4.00000
,,,-0.00241760000,0.00680,4.00000
,,,-0.00241720000,0.00680,4.00000
,,,-0.00241680000,0.00680,4.00000
,,,-0.00241640000,0.00680,4.00000
,,,-0.00241600000,0.00680,4.00000
,,,-0.00241560000,0.00680,4.00000
,,,-0.00241520000,0.00680,4.00000
,,,-0.00241480000,0.00680,4.00000
,,,-0.00241440000,0.00680,4.00000
,,,-0.00241400000,0.00680,4.00000
,,,-0.00241360000,0.00680,4.00000
,,,-0.00241320000,0.00680,4.00000
,,,-0.00241280000,0.00720,4.00000
,,,-0.00241240000,0.00680,4.00000
,,,-0.00241200000,0.00680,4.00000
,,,-0.00241160000,0.00680,4.00000
,,,-0.00241120000,0.00680,4.00000
,,,-0.00241080000,0.00680,4.00000
,,,-0.00241040000,0.00680,4.00000
,,,-0.00241000000,0.00680,4.00000
,,,-0.00240960000,0.00680,4.00000
,,,-0.00240920000,0.00680,4.00000
,,,-0.00240880000,0.00680,4.00000
,,,-0.00240840000,0.00680,4.00000
,,,-0.00240800000,0.00680,4.00000
,,,-0.00240760000,0.00680,4.00000
,,,-0.00240720000,0.00680,4.00000
,,,-0.00240680000,0.00680,4.00000
,,,-0.00240640000,0.00680,4.00000
,,,-0.00240600000,0.00680,4.00000
,,,-0.00240560000,0.00680,4.00000
,,,-0.00240519984,0.00680,4.00000
,,,-0.00240479984,0.00680,4.00000
,,,-0.00240439984,0.00680,4.00000
,,,-0.00240400016,0.00680,4.00000
,,,-0.00240360016,0.00680,4.00000
,,,-0.00240320016,0.00680,3.60000
,,,-0.00240280016,0.00680,3.60000
,,,-0.00240240016,0.00680,4.00000
,,,-0.00240200016,0.00680,4.00000
,,,-0.00240160016,0.00720,4.00000
,,,-0.00240120016,0.00680,4.00000
,,,-0.00240080016,0.00720,4.00000
,,,-0.00240040016,0.00680,3.60000
,,,-0.00240000016,0.00760,3.60000
,,,-0.00239960016,0.00760,4.00000
,,,-0.00239920016,0.00760,4.00000
,,,-0.00239880016,0.00720,4.00000
,,,-0.00239840016,0.00720,4.00000
,,,-0.00239800016,0.00680,3.60000
,,,-0.00239760016,0.00720,4.00000
,,,-0.00239720016,0.00720,3.60000
,,,-0.00239680016,0.00680,3.60000
,,,-0.00239640016,0.00680,3.60000
,,,-0.00239600016,0.00720,3.60000
,,,-0.00239560016,0.00720,4.00000
,,,-0.00239520000,0.00680,4.00000
,,,-0.00239480000,0.00680,3.60000
,,,-0.00239440000,0.00680,4.00000
,,,-0.00239400000,0.00720,4.00000
,,,-0.00239360000,0.00680,3.60000
,,,-0.00239320000,0.00680,3.60000
,,,-0.00239280000,0.00680,3.60000
,,,-0.00239240000,0.00680,4.00000
,,,-0.00239200000,0.00680,3.60000
,,,-0.00239160000,0.00680,3.60000
,,,-0.00239120000,0.00680,4.00000
,,,-0.00239080000,0.00680,4.00000
,,,-0.00239040000,0.00680,3.60000
,,,-0.00239000000,0.00680,4.00000
,,,-0.00238960000,0.00680,4.00000
,,,-0.00238920000,0.00680,3.60000
,,,-0.00238880000,0.00720,3.60000
,,,-0.00238840000,0.00680,3.60000
,,,-0.00238800000,0.00680,3.60000
,,,-0.00238760000,0.00680,4.00000
,,,-0.00238720000,0.00720,3.60000
,,,-0.00238680000,0.00680,3.60000
,,,-0.00238640000,0.00680,3.60000
,,,-0.00238600000,0.00680,3.60000
,,,-0.00238560000,0.00680,4.00000
,,,-0.00238520000,0.00720,3.60000
,,,-0.00238480000,0.00680,3.60000
,,,-0.00238440000,0.00680,4.00000
,,,-0.00238400000,0.00680,4.00000
,,,-0.00238360000,0.00680,4.00000
,,,-0.00238320000,0.00680,3.60000
,,,-0.00238280000,0.00720,3.60000
,,,-0.00238240000,0.00680,3.60000
,,,-0.00238200000,0.00720,4.00000
,,,-0.00238160000,0.00680,3.60000
,,,-0.00238120000,0.00680,3.60000
,,,-0.00238080000,0.00680,3.60000
,,,-0.00238040000,0.00680,3.60000
,,,-0.00238000000,0.00720,3.60000
,,,-0.00237960000,0.00680,3.60000
,,,-0.00237920000,0.00720,3.60000
,,,-0.00237880000,0.00720,3.60000
,,,-0.00237840000,0.00720,3.60000
,,,-0.00237800000,0.00760,3.60000
,,,-0.00237760000,0.00760,3.60000
,,,-0.00237720000,0.00960,3.60000
,,,-0.00237680000,0.01320,3.60000
,,,-0.00237640000,0.01320,3.60000
,,,-0.00237600000,0.00880,3.60000
,,,-0.00237560000,0.00800,3.60000
