Trace1,
Freq,,Amp,,
            19295584,Hz,              -51.71, dBm,
            19300579,Hz,              -49.42, dBm,
            19305574,Hz,              -52.11, dBm,
            19310569,Hz,              -53.77, dBm,
            19315564,Hz,              -51.31, dBm,
            19320559,Hz,              -52.48, dBm,
            19325554,Hz,              -51.75, dBm,
            19330549,Hz,              -49.45, dBm,
            19335544,Hz,              -51.03, dBm,
            19340539,Hz,              -52.31, dBm,
            19345534,Hz,              -48.16, dBm,
            19350529,Hz,              -53.18, dBm,
            19355524,Hz,              -51.01, dBm,
            19360519,Hz,              -54.05, dBm,
            19365514,Hz,              -50.50, dBm,
            19370509,Hz,              -54.55, dBm,
            19375504,Hz,              -51.80, dBm,
            19380499,Hz,              -50.78, dBm,
            19385494,Hz,              -51.19, dBm,
            19390489,Hz,              -52.55, dBm,
            19395484,Hz,              -53.58, dBm,
            19400479,Hz,              -51.66, dBm,
            19405474,Hz,              -52.00, dBm,
            19410469,Hz,              -53.17, dBm,
            19415464,Hz,              -51.47, dBm,
            19420459,Hz,              -50.61, dBm,
            19425454,Hz,              -52.72, dBm,
            19430449,Hz,              -53.61, dBm,
            19435444,Hz,              -51.98, dBm,
            19440439,Hz,              -54.11, dBm,
            19445434,Hz,              -54.39, dBm,
            19450429,Hz,              -52.30, dBm,
            19455424,Hz,              -53.38, dBm,
            19460419,Hz,              -51.88, dBm,
            19465414,Hz,              -53.28, dBm,
            19470409,Hz,              -53.33, dBm,
            19475404,Hz,              -54.02, dBm,
            19480399,Hz,              -52.86, dBm,
            19485394,Hz,              -52.16, dBm,
            19490389,Hz,              -51.96, dBm,
            19495384,Hz,              -49.62, dBm,
            19500379,Hz,              -53.78, dBm,
            19505374,Hz,              -57.12, dBm,
            19510369,Hz,              -53.33, dBm,
            19515364,Hz,              -50.87, dBm,
            19520359,Hz,              -54.28, dBm,
            19525354,Hz,              -54.54, dBm,
            19530349,Hz,              -55.51, dBm,
            19535344,Hz,              -53.55, dBm,
            19540339,Hz,              -55.92, dBm,
            19545334,Hz,              -53.25, dBm,
            19550329,Hz,              -53.68, dBm,
            19555324,Hz,              -53.48, dBm,
            19560319,Hz,              -53.54, dBm,
            19565314,Hz,              -53.98, dBm,
            19570309,Hz,              -57.86, dBm,
            19575304,Hz,              -54.11, dBm,
            19580299,Hz,              -54.97, dBm,
            19585294,Hz,              -54.66, dBm,
            19590289,Hz,              -57.43, dBm,
            19595284,Hz,              -51.20, dBm,
            19600279,Hz,              -57.53, dBm,
            19605274,Hz,              -57.96, dBm,
            19610269,Hz,              -58.46, dBm,
            19615264,Hz,              -55.01, dBm,
            19620259,Hz,              -55.89, dBm,
            19625254,Hz,              -54.78, dBm,
            19630249,Hz,              -51.77, dBm,
            19635244,Hz,              -56.86, dBm,
            19640239,Hz,              -55.03, dBm,
            19645234,Hz,              -55.09, dBm,
            19650229,Hz,              -54.71, dBm,
            19655224,Hz,              -54.96, dBm,
            19660219,Hz,              -55.86, dBm,
            19665214,Hz,              -50.26, dBm,
            19670209,Hz,              -55.64, dBm,
            19675204,Hz,              -56.48, dBm,
            19680199,Hz,              -58.49, dBm,
            19685194,Hz,              -51.77, dBm,
            19690189,Hz,              -54.91, dBm,
            19695184,Hz,              -55.97, dBm,
            19700179,Hz,              -54.96, dBm,
            19705174,Hz,              -52.34, dBm,
            19710169,Hz,              -53.44, dBm,
            19715164,Hz,              -54.97, dBm,
            19720159,Hz,              -54.08, dBm,
            19725154,Hz,              -54.39, dBm,
            19730149,Hz,              -54.04, dBm,
            19735144,Hz,              -56.68, dBm,
            19740139,Hz,              -56.45, dBm,
            19745134,Hz,              -54.51, dBm,
            19750129,Hz,              -52.75, dBm,
            19755124,Hz,              -55.45, dBm,
            19760119,Hz,              -55.86, dBm,
            19765114,Hz,              -57.95, dBm,
            19770109,Hz,              -52.55, dBm,
            19775104,Hz,              -53.54, dBm,
            19780099,Hz,              -52.91, dBm,
            19785094,Hz,              -55.51, dBm,
            19790089,Hz,              -56.48, dBm,
            19795084,Hz,              -52.70, dBm,
            19800079,Hz,              -54.01, dBm,
            19805074,Hz,              -54.61, dBm,
            19810069,Hz,              -56.59, dBm,
            19815064,Hz,              -55.01, dBm,
            19820059,Hz,              -53.07, dBm,
            19825054,Hz,              -54.83, dBm,
            19830049,Hz,              -55.13, dBm,
            19835044,Hz,              -55.70, dBm,
            19840039,Hz,              -55.78, dBm,
            19845034,Hz,              -52.39, dBm,
            19850029,Hz,              -52.80, dBm,
            19855024,Hz,              -54.74, dBm,
            19860019,Hz,              -52.12, dBm,
            19865014,Hz,              -54.21, dBm,
            19870009,Hz,              -55.59, dBm,
            19875004,Hz,              -53.51, dBm,
            19879999,Hz,              -53.60, dBm,
            19884994,Hz,              -58.64, dBm,
            19889989,Hz,              -55.04, dBm,
            19894984,Hz,              -55.82, dBm,
            19899979,Hz,              -55.71, dBm,
            19904974,Hz,              -54.32, dBm,
            19909969,Hz,              -56.51, dBm,
            19914964,Hz,              -55.34, dBm,
            19919959,Hz,              -53.95, dBm,
            19924954,Hz,              -57.80, dBm,
            19929949,Hz,              -55.91, dBm,
            19934944,Hz,              -54.71, dBm,
