mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
170.000	8.191	170.000	3512004057.835	1588.456	530.038	2118.494	0.250	0.851	-3.366	-0.004	-2.544
171.000	4.825	171.000	3512004059.322	625.197	978.281	1603.478	0.610	0.851	-3.366	-0.004	-2.544
172.000	4.825	172.000	3512004060.821	1635.831	-110.901	1524.929	-0.073	0.851	-3.366	-1.593	-2.544
173.000	6.418	173.000	3512004062.321	1008.813	244.694	1253.507	0.195	0.851	-3.366	-1.593	-2.544
174.000	6.418	174.000	3512004063.821	824.376	402.758	1227.133	0.328	0.851	-3.366	-1.593	0.081
175.000	6.337	175.000	3512004065.321	922.366	202.070	1124.436	0.180	0.851	-3.366	-1.593	0.081
176.000	6.337	176.000	3512004066.820	703.341	302.907	1006.248	0.301	-0.889	-3.366	-1.593	0.081
177.000	5.447	177.000	3512004068.322	1001.754	724.411	1726.165	0.420	-0.889	-3.366	-1.593	0.081
186.000	-2.790	186.000	3512004081.821	1471.773	423.379	1895.152	0.223	0.100	2.799	1.183	1.079
187.000	0.009	187.000	3512004083.321	1271.972	491.459	1763.432	0.279	0.100	2.799	1.183	1.079
188.000	0.009	188.000	3512004084.821	1264.424	309.320	1573.745	0.197	0.100	2.799	0.087	1.079
189.000	-0.078	189.000	3512004086.322	970.585	378.979	1349.564	0.281	0.100	2.799	0.087	1.079
190.000	-0.078	190.000	3512004087.823	887.202	369.704	1256.906	0.294	0.100	2.799	0.087	-2.049
191.000	1.971	191.000	3512004089.323	919.303	175.035	1094.338	0.160	0.100	2.799	0.087	-2.049
192.000	1.971	192.000	3512004090.822	625.197	343.459	968.656	0.355	-2.064	2.799	0.087	-2.049
193.000	-0.093	193.000	3512004092.321	1572.206	264.723	1836.928	0.144	-2.064	2.799	0.087	-2.049
194.000	-0.093	194.000	3512004093.823	773.094	1077.145	1850.239	0.582	-2.064	-0.731	0.087	-2.049
195.000	-0.824	195.000	3512004095.322	1026.396	344.150	1370.545	0.251	-2.064	-0.731	0.087	-2.049
196.000	-0.824	196.000	3512004096.823	1054.279	493.334	1547.613	0.319	-2.064	-0.731	0.119	-2.049
197.000	-0.942	197.000	3512004098.322	788.589	326.390	1114.979	0.293	-2.064	-0.731	0.119	-2.049
198.000	-0.942	198.000	3512004099.823	895.060	398.910	1293.970	0.308	-2.064	-0.731	0.119	1.731
199.000	-2.674	199.000	3512004101.322	869.175	186.381	1055.557	0.177	-2.064	-0.731	0.119	1.731
200.000	-2.674	200.000	3512004102.822	943.235	169.707	1112.941	0.152	3.897	-0.731	0.119	1.731
201.000	1.223	201.000	3512004104.323	992.874	787.755	1780.629	0.442	3.897	-0.731	0.119	1.731
202.000	1.223	202.000	3512004105.822	1635.964	382.038	2018.002	0.189	3.897	0.602	0.119	1.731
203.000	1.825	203.000	3512004107.322	1194.938	655.641	1850.579	0.354	3.897	0.602	0.119	1.731
204.000	1.825	204.000	3512004108.823	1439.050	203.155	1642.205	0.124	3.897	0.602	0.138	1.731
205.000	1.687	205.000	3512004110.323	698.057	390.622	1088.679	0.359	3.897	0.602	0.138	1.731
206.000	1.687	206.000	3512004111.822	1054.590	142.968	1197.558	0.119	3.897	0.602	0.138	-0.214
207.000	1.901	207.000	3512004113.324	709.024	362.600	1071.625	0.338	3.897	0.602	0.138	-0.214
208.000	1.901	208.000	3512004114.822	849.328	278.536	1127.865	0.247	-2.251	0.602	0.138	-0.214
209.000	-0.350	209.000	3512004116.322	1305.272	802.358	2107.631	0.381	-2.251	0.602	0.138	-0.214
210.000	-0.350	210.000	3512004117.822	1348.030	371.579	1719.609	0.216	-2.251	-2.051	0.138	-0.214
211.000	-2.402	211.000	3512004119.323	1489.932	127.576	1617.508	0.079	-2.251	-2.051	0.138	-0.214
212.000	-2.402	212.000	3512004120.823	1176.601	575.721	1752.322	0.329	-2.251	-2.051	-2.130	-0.214
213.000	-0.272	213.000	3512004122.323	1050.061	355.200	1405.261	0.253	-2.251	-2.051	-2.130	-0.214
214.000	-0.272	214.000	3512004123.823	916.372	390.030	1306.402	0.299	-2.251	-2.051	-2.130	-0.813
215.000	0.582	215.000	3512004125.324	951.537	279.523	1231.060	0.227	-2.251	-2.051	-2.130	-0.813
216.000	0.582	216.000	3512004126.824	802.398	262.059	1064.456	0.246	-1.464	-2.051	-2.130	-0.813
217.000	-0.956	217.000	3512004128.323	1755.001	327.179	2082.180	0.157	-1.464	-2.051	-2.130	-0.813
218.000	-0.956	218.000	3512004129.824	1062.671	792.787	1855.458	0.427	-1.464	2.221	-2.130	-0.813
219.000	1.377	219.000	3512004131.322	849.106	859.585	1708.691	0.503	-1.464	2.221	-2.130	-0.813
220.000	1.377	220.000	3512004132.823	1744.344	60.483	1804.827	0.034	-1.464	2.221	0.407	-0.813
221.000	0.949	221.000	3512004134.322	947.808	252.488	1200.296	0.210	-1.464	2.221	0.407	-0.813
222.000	0.949	222.000	3512004135.823	972.627	411.835	1384.462	0.297	-1.464	2.221	0.407	0.170
223.000	0.813	223.000	3512004137.324	859.762	173.062	1032.824	0.168	-1.464	2.221	0.407	0.170
224.000	0.813	224.000	3512004138.823	693.617	317.312	1010.930	0.314	2.403	2.221	0.407	0.170
225.000	3.259	225.000	3512004140.323	1059.429	637.979	1697.409	0.376	2.403	2.221	0.407	0.170
234.000	-4.287	234.000	3512004153.831	1958.797	-88.899	1869.898	-0.048	-1.102	3.234	0.775	1.302
235.000	-0.988	235.000	3512004155.323	1831.235	-62.653	1768.582	-0.035	-1.102	3.234	0.775	1.302
236.000	-0.988	236.000	3512004156.824	1805.528	71.040	1876.568	0.038	-1.102	3.234	-0.947	1.302
237.000	-0.057	237.000	3512004158.325	1380.797	93.635	1474.432	0.064	-1.102	3.234	-0.947	1.302
238.000	-0.057	238.000	3512004159.835	1277.478	-8.485	1268.993	-0.007	-1.102	3.234	-0.947	-1.667
239.000	1.662	239.000	3512004161.325	1155.733	-6.709	1149.024	-0.006	-1.102	3.234	-0.947	-1.667
262.000	2.507	262.000	3512004195.835	863.270	518.691	1381.961	0.375	0.370	0.480	0.260	0.857
263.000	1.662	263.000	3512004197.324	784.948	453.472	1238.421	0.366	0.370	0.480	0.260	0.857
264.000	1.662	264.000	3512004198.835	898.923	227.427	1126.350	0.202	-1.196	0.480	0.260	0.857
265.000	0.415	265.000	3512004200.324	1657.720	308.531	1966.251	0.157	-1.196	0.480	0.260	0.857
266.000	0.415	266.000	3512004201.824	1501.165	480.507	1981.673	0.242	-1.196	-2.419	0.260	0.857
267.000	-2.029	267.000	3512004203.336	1347.941	487.118	1835.059	0.265	-1.196	-2.419	0.260	0.857
268.000	-2.029	268.000	3512004204.825	1183.172	624.166	1807.338	0.345	-1.196	-2.419	0.597	0.857
269.000	-2.686	269.000	3512004206.325	739.083	456.630	1195.713	0.382	-1.196	-2.419	0.597	0.857
270.000	-2.686	270.000	3512004207.824	1226.063	237.491	1463.554	0.162	-1.196	-2.419	0.597	-1.461
271.000	-1.139	271.000	3512004209.325	1059.296	142.968	1202.264	0.119	-1.196	-2.419	0.597	-1.461
272.000	-1.139	272.000	3512004210.825	812.965	325.798	1138.762	0.286	0.761	-2.419	0.597	-1.461
273.000	-0.393	273.000	3512004212.325	1488.112	382.334	1870.446	0.204	0.761	-2.419	0.597	-1.461
274.000	-0.393	274.000	3512004213.837	1404.684	609.366	2014.050	0.303	0.761	0.711	0.597	-1.461
275.000	0.327	275.000	3512004215.325	1141.303	506.851	1648.154	0.308	0.761	0.711	0.597	-1.461
276.000	0.327	276.000	3512004216.824	1632.323	422.195	2054.518	0.205	0.761	0.711	-1.954	-1.461
277.000	2.315	277.000	3512004218.324	868.420	439.659	1308.080	0.336	0.761	0.711	-1.954	-1.461
278.000	2.315	278.000	3512004219.824	754.135	529.742	1283.877	0.413	0.761	0.711	-1.954	1.487
279.000	0.844	279.000	3512004221.337	772.028	309.715	1081.743	0.286	0.761	0.711	-1.954	1.487
280.000	0.844	280.000	3512004222.824	1077.101	123.136	1200.237	0.103	0.873	0.711	-1.954	1.487
281.000	1.744	281.000	3512004224.330	991.231	827.814	1819.045	0.455	0.873	0.711	-1.954	1.487
282.000	1.744	282.000	3512004225.825	1512.932	298.171	1811.103	0.165	0.873	-0.908	-1.954	1.487
283.000	0.802	283.000	3512004227.325	1023.732	857.809	1881.541	0.456	0.873	-0.908	-1.954	1.487
284.000	0.802	284.000	3512004228.825	1219.891	478.336	1698.228	0.282	0.873	-0.908	0.681	1.487
285.000	0.123	285.000	3512004230.326	859.096	351.944	1211.041	0.291	0.873	-0.908	0.681	1.487
286.000	0.123	286.000	3512004231.825	1031.546	303.992	1335.539	0.228	0.873	-0.908	0.681	-1.634
287.000	1.856	287.000	3512004233.325	909.180	158.755	1067.935	0.149	0.873	-0.908	0.681	-1.634
288.000	1.856	288.000	3512004234.824	819.758	426.142	1245.900	0.342	-2.584	-0.908	0.681	-1.634
289.000	-0.829	289.000	3512004236.332	1250.039	325.502	1575.540	0.207	-2.584	-0.908	0.681	-1.634
